City/Town,Ward,Pct,"Suzanne M. Bump","Helen Brady","Daniel Fishman","Edward J. Stamas","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Libertarian,Green-rainbow
Haverhill,3,1,381,79,25,15,0,17,517
Haverhill,3,2,453,205,42,19,0,38,757
Haverhill,3,3,506,242,45,14,0,44,851
Haverhill,4,1,610,492,63,26,0,93,"1,284"
Haverhill,4,2,734,641,66,27,4,75,"1,547"
Haverhill,4,3,638,533,61,25,1,76,"1,334"
Haverhill,5,1,705,396,47,22,2,78,"1,250"
Haverhill,5,2,680,589,51,24,1,60,"1,405"
Haverhill,5,3,710,736,63,15,0,76,"1,600"
Haverhill,6,1,563,390,49,21,0,59,"1,082"
Haverhill,6,2,603,413,48,26,2,64,"1,156"
Haverhill,6,3,713,514,34,15,0,75,"1,351"
Haverhill,7,1,694,456,56,37,0,100,"1,343"
Haverhill,7,2,589,422,58,20,0,51,"1,140"
Haverhill,7,3,688,624,76,25,2,89,"1,504"
Hawley,-,1,102,48,3,9,0,10,172
Heath,-,1,206,122,8,16,0,19,371
Hingham,-,1,"1,067",651,69,17,1,102,"1,907"
Hingham,-,2,"1,191",719,78,28,2,129,"2,147"
Hingham,-,3,"1,141",710,73,25,4,137,"2,090"
Hingham,-,4,"1,081",688,90,30,2,116,"2,007"
Hingham,-,5,728,582,47,14,1,85,"1,457"
Hingham,-,5A,611,288,43,12,0,53,"1,007"
Hingham,-,6,"1,048",702,75,27,1,129,"1,982"
Hinsdale,-,1,551,250,25,34,0,62,922
Holbrook,-,1,658,330,39,12,1,59,"1,099"
Holbrook,-,2,615,417,54,30,0,89,"1,205"
Holbrook,-,3,625,385,29,14,1,75,"1,129"
Holbrook,-,4,605,337,43,25,0,72,"1,082"
Holden,-,1,903,756,68,36,0,105,"1,868"
Holden,-,2,"1,007",732,61,35,0,127,"1,962"
Holden,-,3,902,641,60,51,1,115,"1,770"
Holden,-,4,"1,061",790,73,35,0,147,"2,106"
Holden,-,5,"1,028",753,98,41,0,123,"2,043"
Holland,-,1,495,513,54,36,1,52,"1,151"
Holliston,-,1,"1,198",656,104,40,2,102,"2,102"
Holliston,-,2,"1,196",510,94,36,0,124,"1,960"
Holliston,-,3,"1,093",510,67,33,0,90,"1,793"
Holliston,-,4,997,506,88,38,1,110,"1,740"
Holyoke,1,A,349,74,14,32,0,33,502
Holyoke,1,B,434,68,18,33,0,30,583
Holyoke,2,A,362,83,18,26,0,36,525
Holyoke,2,B,332,58,8,15,0,33,446
Holyoke,3,A,607,188,23,63,0,43,924
Holyoke,3,B,734,301,36,63,0,75,"1,209"
Holyoke,4,A,314,58,18,36,0,21,447
Holyoke,4,B,521,121,21,55,0,45,763
Holyoke,5,A,798,538,39,79,2,99,"1,555"
Holyoke,5,B,588,260,25,36,0,43,952
Holyoke,6,A,491,143,24,52,3,41,754
Holyoke,6,B,678,203,28,85,1,39,"1,034"
Holyoke,7,A,922,377,40,67,2,85,"1,493"
Holyoke,7,B,818,246,42,81,0,77,"1,264"
Hopedale,-,1,"1,471","1,016",140,62,2,194,"2,885"
Hopkinton,-,1,"1,304",680,75,36,0,123,"2,218"
Hopkinton,-,2,"1,078",663,72,27,0,112,"1,952"
Hopkinton,-,3,"1,074",656,64,33,0,113,"1,940"
Hopkinton,-,4,"1,061",604,79,37,0,120,"1,901"
Hubbardston,-,1,946,"1,072",104,63,0,106,"2,291"
Hudson,-,1,747,476,43,19,1,65,"1,351"
Hudson,-,2,596,323,60,34,0,34,"1,047"
Hudson,-,3,724,516,49,23,1,66,"1,379"
Hudson,-,4,750,548,66,30,3,68,"1,465"
Hudson,-,5,965,560,84,29,0,71,"1,709"
Hudson,-,6,556,300,43,19,1,56,975
Hudson,-,7,598,289,45,30,0,54,"1,016"
Hull,-,1,"1,073",562,73,49,0,101,"1,858"
Hull,-,2,896,472,64,52,1,110,"1,595"
Hull,-,3,"1,151",645,70,42,0,121,"2,029"
Huntington,-,1,421,397,41,51,0,42,952
Ipswich,-,1,"1,105",514,89,55,0,130,"1,893"
Ipswich,-,2,"1,111",667,118,51,0,144,"2,091"
Ipswich,-,3,904,701,111,20,0,132,"1,868"
Ipswich,-,4,"1,010",664,95,48,0,149,"1,966"
Kingston,-,1,800,545,68,28,0,89,"1,530"
Kingston,-,2,842,755,60,24,3,84,"1,768"
Kingston,-,3,851,699,70,18,0,106,"1,744"
Kingston,-,4,741,591,38,17,0,81,"1,468"
Lakeville,-,1,748,781,77,29,1,91,"1,727"
Lakeville,-,2,718,851,62,34,0,100,"1,765"
Lakeville,-,3,865,902,61,24,1,101,"1,954"
Lancaster,-,1,734,666,75,37,0,96,"1,608"
Lancaster,-,2,835,711,79,44,0,107,"1,776"
Lanesborough,-,1,840,398,46,44,2,108,"1,438"
Lawrence,A,1,533,112,26,13,2,32,718
Lawrence,A,2,365,45,19,10,0,42,481
Lawrence,A,3,433,133,28,19,1,40,654
Lawrence,A,4,506,86,25,13,0,24,654
Lawrence,B,1,541,78,17,23,1,75,735
