City/Town,Ward,Pct,"William Francis Galvin","Rayla Campbell","Juan G. Sanchez, Jr","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Green-Rainbow
Somerville,5,2,"1,044",76,81,1,25,"1,227"
Somerville,5,3,"1,044",95,71,1,24,"1,235"
Somerville,5,4,"1,108",73,98,2,19,"1,300"
Somerville,6,1,"1,088",68,76,0,24,"1,256"
Somerville,6,2,"1,188",84,121,0,19,"1,412"
Somerville,6,3,309,14,23,0,6,352
Somerville,6,3A,162,25,8,0,3,198
Somerville,6,4,"1,154",87,92,2,35,"1,370"
Somerville,7,1,"1,223",64,80,2,26,"1,395"
Somerville,7,2,803,69,54,1,10,937
Somerville,7,3,733,115,63,0,16,927
Somerville,7,4,865,92,62,2,23,"1,044"
"S. Hadley",-,A,906,368,73,1,14,"1,362"
"S. Hadley",-,B,"1,176",421,59,1,20,"1,677"
"S. Hadley",-,C,"1,071",540,56,0,25,"1,692"
"S. Hadley",-,D,711,214,44,0,9,978
"S. Hadley",-,E,"1,121",498,62,1,25,"1,707"
Southampton,-,1,917,605,32,2,23,"1,579"
Southampton,-,2,851,610,58,32,19,"1,570"
Southborough,-,1,"1,131",439,32,1,36,"1,639"
Southborough,-,2,"1,077",496,26,0,38,"1,637"
Southborough,-,3,"1,121",417,19,0,38,"1,595"
Southbridge,-,1,463,284,36,0,20,803
Southbridge,-,2,334,218,24,0,14,590
Southbridge,-,3,491,390,43,0,18,942
Southbridge,-,4,786,526,31,1,31,"1,375"
Southbridge,-,5,349,171,32,0,18,570
Southwick,-,1,627,918,37,0,16,"1,598"
Southwick,-,2,492,631,43,0,18,"1,184"
Southwick,-,3,648,724,37,0,22,"1,431"
Spencer,-,1,564,476,27,0,15,"1,082"
Spencer,-,2,493,434,17,0,6,950
Spencer,-,3,560,604,26,0,11,"1,201"
Spencer,-,4,634,543,40,3,15,"1,235"
Springfield,1,A,169,31,49,2,14,265
Springfield,1,B,189,51,48,1,5,294
Springfield,1,C,115,17,32,0,8,172
Springfield,1,C1,15,3,3,0,0,21
Springfield,1,D,151,22,15,0,4,192
Springfield,1,D1,38,6,5,0,5,54
Springfield,1,E,147,29,21,0,8,205
Springfield,1,F,208,36,27,0,5,276
Springfield,1,G,161,39,18,1,2,221
Springfield,1,H,313,51,32,1,7,404
Springfield,2,A,188,71,30,0,10,299
Springfield,2,B,396,128,56,0,28,608
Springfield,2,C,210,69,23,0,6,308
Springfield,2,D,344,102,35,1,19,501
Springfield,2,E,326,137,34,0,13,510
Springfield,2,F,330,100,41,0,9,480
Springfield,2,G,365,172,46,0,18,601
Springfield,2,H,392,156,45,0,8,601
Springfield,3,A,179,37,17,0,5,238
Springfield,3,B,174,26,17,0,8,225
Springfield,3,C,138,40,21,0,6,205
Springfield,3,D,176,27,23,0,5,231
Springfield,3,E,97,27,12,0,5,141
Springfield,3,F,138,50,20,0,4,212
Springfield,3,G,108,26,21,2,8,165
Springfield,3,H,144,53,19,1,8,225
Springfield,4,A,401,65,42,1,13,522
Springfield,4,B,222,30,15,0,8,275
Springfield,4,C,179,20,17,0,8,224
Springfield,4,D,197,26,12,0,5,240
Springfield,4,E,194,22,19,0,6,241
Springfield,4,F,81,11,3,0,4,99
Springfield,4,G,284,39,27,1,11,362
Springfield,4,H,283,21,20,1,15,340
Springfield,5,A,340,58,23,0,14,435
Springfield,5,B,402,110,33,0,8,553
Springfield,5,C,303,118,24,2,12,459
Springfield,5,C1,6,3,1,0,1,11
Springfield,5,D,550,257,28,0,17,852
Springfield,5,E,471,92,33,4,14,614
Springfield,5,F,499,138,42,1,28,708
Springfield,5,G,547,270,42,0,15,874
Springfield,5,H,400,181,47,1,9,638
Springfield,6,A,259,66,26,1,10,362
Springfield,6,B,456,130,29,0,19,634
Springfield,6,C,317,137,27,1,11,493
Springfield,6,D,525,243,33,1,22,824
Springfield,6,D1,24,7,3,0,0,34
Springfield,6,E,193,49,21,0,10,273
Springfield,6,F,233,53,31,0,8,325
Springfield,6,G,334,119,26,1,14,494
Springfield,6,H,418,176,35,1,9,639
Springfield,7,A,452,204,44,0,16,716
Springfield,7,A1,17,3,4,0,1,25
Springfield,7,B,643,252,37,2,26,960
Springfield,7,B1,3,3,0,0,0,6
