City/Town,Ward,Pct,"Eunice Delice Zeigler","Anne M. Manning-Martin","Jody A. Elliott","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Unenrolled
Peabody,3,2,383,703,107,5,91,"1,289"
Peabody,3,3,408,816,128,4,81,"1,437"
Peabody,4,1,429,893,125,4,118,"1,569"
Peabody,4,2,365,603,94,4,78,"1,144"
Peabody,4,3,155,363,49,0,65,632
Peabody,4,3A,657,498,117,1,246,"1,519"
Peabody,5,1,510,"1,136",142,4,147,"1,939"
Peabody,5,2,375,863,118,3,120,"1,479"
Peabody,5,3,486,920,144,4,94,"1,648"
Peabody,6,1,498,"1,280",146,2,180,"2,106"
Peabody,6,2,432,"1,195",122,3,137,"1,889"
Peabody,6,3,457,"1,358",136,9,179,"2,139"
Pepperell,-,1,617,694,216,3,206,"1,736"
Pepperell,-,2,797,844,243,2,186,"2,072"
Pepperell,-,3,722,813,194,5,179,"1,913"
Pepperell,-,4,676,587,210,4,178,"1,655"
Rockport,-,1,651,339,132,0,174,"1,296"
Rockport,-,2,904,456,210,5,213,"1,788"
Rockport,-,3,"1,031",569,224,3,321,"2,148"
Rowley,-,1,"1,400","1,893",416,5,406,"4,120"
Salem,1,1,974,425,372,2,213,"1,986"
Salem,1,2,457,178,161,1,99,896
Salem,2,1,"1,059",347,337,0,164,"1,907"
Salem,2,2,"1,099",373,395,3,203,"2,073"
Salem,3,1,725,393,271,1,158,"1,548"
Salem,3,2,710,521,294,1,133,"1,659"
Salem,4,1,584,536,300,4,140,"1,564"
Salem,4,2,672,661,316,2,158,"1,809"
Salem,5,1,957,353,316,3,178,"1,807"
Salem,5,2,810,305,272,5,127,"1,519"
Salem,6,1,774,434,318,1,144,"1,671"
Salem,6,2,919,476,361,2,139,"1,897"
Salem,7,1,628,322,241,1,120,"1,312"
Salem,7,2,797,489,297,1,172,"1,756"
Salisbury,-,1,766,712,225,0,205,"1,908"
Salisbury,-,2,681,774,173,0,199,"1,827"
Salisbury,-,3,539,885,205,0,193,"1,822"
Tewksbury,-,1,778,843,174,3,246,"2,044"
Tewksbury,-,2,955,994,280,8,221,"2,458"
Tewksbury,-,3,855,"1,009",214,6,233,"2,317"
Tewksbury,-,4,850,854,268,4,238,"2,214"
Tewksbury,-,5,807,898,195,9,222,"2,131"
Tewksbury,-,5A,164,110,42,1,26,343
Tewksbury,-,6,797,"1,017",260,9,220,"2,303"
Tewksbury,-,7,970,"1,073",251,12,285,"2,591"
Tewksbury,-,8,930,932,261,10,227,"2,360"
Topsfield,-,1,851,945,243,1,222,"2,262"
Topsfield,-,2,802,841,198,0,225,"2,066"
Tyngsborough,-,1,671,788,197,0,230,"1,886"
Tyngsborough,-,2,682,728,192,0,236,"1,838"
Tyngsborough,-,3,661,689,198,0,200,"1,748"
Tyngsborough,-,4,746,876,242,0,256,"2,120"
Wenham,-,1,390,365,83,0,109,947
Wenham,-,1A,694,591,191,0,205,"1,681"
"W. Newbury",-,1,"1,487","1,146",320,1,345,"3,299"
Wilmington,-,1,925,961,300,0,251,"2,437"
Wilmington,-,2,833,992,255,2,314,"2,396"
Wilmington,-,3,842,980,232,2,258,"2,314"
Wilmington,-,4,925,"1,001",251,1,311,"2,489"
Wilmington,-,5,902,897,223,3,240,"2,265"
Wilmington,-,6,894,"1,057",255,2,291,"2,499"
TOTALS,,,"184,275","158,961","46,634",705,"48,373","438,948"
