City/Town,Ward,Pct,"Maria C. Curtatone","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Shirley,-,1,"1,944",10,854,"2,808"
Somerville,1,1,850,31,195,"1,076"
Somerville,1,2,"1,330",48,295,"1,673"
Somerville,1,3,890,35,178,"1,103"
Somerville,2,1,"1,392",27,239,"1,658"
Somerville,2,2,"1,666",34,261,"1,961"
Somerville,2,3,"1,539",37,314,"1,890"
Somerville,3,1,"1,369",34,281,"1,684"
Somerville,3,2,"1,360",47,313,"1,720"
Somerville,3,3,"1,714",34,311,"2,059"
Somerville,4,1,788,30,239,"1,057"
Somerville,4,2,"1,033",34,230,"1,297"
Somerville,4,3,"1,242",29,284,"1,555"
Somerville,5,1,"1,427",58,322,"1,807"
Somerville,5,2,"1,674",45,337,"2,056"
Somerville,5,3,"1,786",39,320,"2,145"
Somerville,6,1,"1,911",42,334,"2,287"
Somerville,6,2,"1,729",35,355,"2,119"
Somerville,6,3,932,29,182,"1,143"
Somerville,7,1,"1,726",27,309,"2,062"
Somerville,7,2,"1,307",19,239,"1,565"
Somerville,7,3,"1,306",54,319,"1,679"
Stoneham,-,1,"1,057",0,433,"1,490"
Stoneham,-,2,"1,207",0,460,"1,667"
Stoneham,-,3,"1,216",0,620,"1,836"
Stoneham,-,4,979,0,462,"1,441"
Stoneham,-,5,"1,059",0,518,"1,577"
Stoneham,-,6,"1,073",0,562,"1,635"
Stoneham,-,7,"1,049",0,457,"1,506"
Stow,-,1,"1,550",29,525,"2,104"
Stow,-,2,"1,441",2,522,"1,965"
Sudbury,-,1,"1,088",13,352,"1,453"
Sudbury,-,1A,365,7,136,508
Sudbury,-,2,"1,375",21,427,"1,823"
Sudbury,-,3,"1,442",18,551,"2,011"
Sudbury,-,4,"1,480",19,487,"1,986"
Sudbury,-,5,"1,375",16,474,"1,865"
Townsend,-,1,873,0,462,"1,335"
Townsend,-,2,867,0,475,"1,342"
Townsend,-,3,918,0,442,"1,360"
Wakefield,-,1,"1,281",31,683,"1,995"
Wakefield,-,2,"1,069",27,500,"1,596"
Wakefield,-,3,"1,191",33,587,"1,811"
Wakefield,-,4,"1,201",26,550,"1,777"
Wakefield,-,5,"1,330",27,602,"1,959"
Wakefield,-,6,"1,325",25,564,"1,914"
Wakefield,-,7,"1,200",24,627,"1,851"
Waltham,1,1,"1,117",22,444,"1,583"
Waltham,1,2,"1,180",17,494,"1,691"
Waltham,2,1,"1,163",24,410,"1,597"
Waltham,2,2,915,9,198,"1,122"
Waltham,3,1,"1,161",10,572,"1,743"
Waltham,3,2,"1,128",21,435,"1,584"
Waltham,4,1,"1,205",18,458,"1,681"
Waltham,4,2,289,5,89,383
Waltham,5,1,"1,123",12,344,"1,479"
Waltham,5,2,961,10,235,"1,206"
Waltham,6,1,"1,020",11,285,"1,316"
Waltham,6,2,607,6,169,782
Waltham,7,1,"1,024",9,394,"1,427"
Waltham,7,2,382,5,105,492
Waltham,8,1,938,19,199,"1,156"
Waltham,8,2,"1,042",7,247,"1,296"
Waltham,9,1,731,10,162,903
Waltham,9,2,775,8,154,937
Watertown,-,1,858,12,223,"1,093"
Watertown,-,2,960,12,212,"1,184"
Watertown,-,3,"1,190",11,238,"1,439"
Watertown,-,4,"1,217",2,294,"1,513"
Watertown,-,5,"1,121",13,239,"1,373"
Watertown,-,6,"1,003",7,220,"1,230"
Watertown,-,7,"1,148",11,298,"1,457"
Watertown,-,8,"1,201",25,299,"1,525"
Watertown,-,9,882,13,210,"1,105"
Watertown,-,10,"1,349",29,371,"1,749"
Watertown,-,11,911,19,280,"1,210"
Watertown,-,12,877,11,235,"1,123"
Wayland,-,1,"1,410",8,508,"1,926"
Wayland,-,2,"1,381",8,430,"1,819"
Wayland,-,3,"1,328",8,434,"1,770"
Wayland,-,4,"1,494",4,537,"2,035"
Weston,-,1,"1,048",19,427,"1,494"
Weston,-,2,933,12,401,"1,346"
Weston,-,3,924,13,380,"1,317"
Weston,-,4,988,10,413,"1,411"
Winchester,-,1,"1,017",0,411,"1,428"
Winchester,-,2,896,0,357,"1,253"
Winchester,-,3,"1,158",0,444,"1,602"
Winchester,-,4,"1,018",0,523,"1,541"
Winchester,-,5,991,0,517,"1,508"
Winchester,-,6,909,0,470,"1,379"
Winchester,-,7,991,0,544,"1,535"
Winchester,-,8,756,0,317,"1,073"
Woburn,1,1,714,4,301,"1,019"
Woburn,1,2,830,1,409,"1,240"
Woburn,2,1,814,4,373,"1,191"
Woburn,2,2,641,2,217,860
Woburn,3,1,735,6,393,"1,134"
Woburn,3,2,977,6,538,"1,521"
Woburn,4,1,904,4,528,"1,436"
Woburn,4,2,770,7,316,"1,093"
Woburn,5,1,978,3,344,"1,325"
Woburn,5,2,899,5,437,"1,341"
Woburn,6,1,508,8,199,715
Woburn,6,2,809,4,406,"1,219"
Woburn,7,1,910,7,614,"1,531"
Woburn,7,2,813,5,491,"1,309"
TOTALS,,,"418,738","5,041","131,260","555,039"
