City/Town,Ward,Pct,"Elizabeth Ann Warren","John Deaton","All Others",Blanks,"Total Votes Cast"
Charlton,-,2,733,"1,360",1,45,"2,139"
Charlton,-,3,817,"1,233",3,53,"2,106"
Charlton,-,4,766,"1,202",1,43,"2,012"
Charlton,-,4A,17,37,0,1,55
Chatham,-,1,"1,368","1,073",2,39,"2,482"
Chatham,-,2,"1,304","1,077",1,37,"2,419"
Chelmsford,-,1,925,777,3,58,"1,763"
Chelmsford,-,2,"1,106",788,1,40,"1,935"
Chelmsford,-,3A,504,375,1,26,906
Chelmsford,-,3B,576,348,0,25,949
Chelmsford,-,4,"1,219",869,2,68,"2,158"
Chelmsford,-,5A,928,742,2,48,"1,720"
Chelmsford,-,5B,283,229,1,19,532
Chelmsford,-,6,"1,046",835,3,81,"1,965"
Chelmsford,-,7,"1,022",788,2,47,"1,859"
Chelmsford,-,8,"1,132",701,0,41,"1,874"
Chelmsford,-,9,"1,177",900,6,72,"2,155"
Chelmsford,-,10,948,756,5,51,"1,760"
Chelmsford,-,11,"1,212",846,2,69,"2,129"
Chelsea,1,1,304,107,0,58,469
Chelsea,1,2,225,50,0,31,306
Chelsea,1,3,302,87,0,28,417
Chelsea,1,4,280,81,0,38,399
Chelsea,2,1,708,317,0,58,"1,083"
Chelsea,2,2,473,116,0,47,636
Chelsea,2,3,273,61,0,48,382
Chelsea,2,4,336,80,0,35,451
Chelsea,3,1,381,101,0,43,525
Chelsea,3,2,407,145,0,35,587
Chelsea,3,3,357,118,0,32,507
Chelsea,3,4,391,101,0,45,537
Chelsea,4,1,461,148,0,42,651
Chelsea,4,2,426,207,0,44,677
Chelsea,4,3,396,222,0,47,665
Chelsea,4,4,355,186,0,36,577
Cheshire,-,1,"1,003",890,1,60,"1,954"
Chester,-,1,287,453,0,11,751
Chesterfield,-,1,473,332,0,31,836
Chicopee,1,A,739,691,4,27,"1,461"
Chicopee,1,B,888,761,7,35,"1,691"
Chicopee,2,A,586,343,0,21,950
Chicopee,2,B,720,767,1,27,"1,515"
Chicopee,3,A,488,615,3,23,"1,129"
Chicopee,3,A1,146,79,0,16,241
Chicopee,3,B,627,447,3,27,"1,104"
Chicopee,4,A,676,537,2,33,"1,248"
Chicopee,4,B,660,498,3,35,"1,196"
Chicopee,5,A,811,576,3,42,"1,432"
Chicopee,5,B,701,573,5,29,"1,308"
Chicopee,6,AN,296,229,3,11,539
Chicopee,6,AS,485,444,3,22,954
Chicopee,6,BE,623,839,4,25,"1,491"
Chicopee,6,BW,144,154,0,5,303
Chicopee,7,A,578,440,0,27,"1,045"
Chicopee,7,B,664,436,3,16,"1,119"
Chicopee,8,A,719,715,3,21,"1,458"
Chicopee,8,B,669,706,4,32,"1,411"
Chicopee,9,A,789,590,2,30,"1,411"
Chicopee,9,B,822,806,1,34,"1,663"
Chilmark,-,1,753,175,1,16,945
Clarksburg,-,1,555,406,0,19,980
Clinton,-,1,"1,155",893,5,55,"2,108"
Clinton,-,2,885,672,7,40,"1,604"
Clinton,-,3,"1,070",889,3,45,"2,007"
Clinton,-,4,955,830,6,56,"1,847"
Cohasset,-,1,936,777,1,35,"1,749"
Cohasset,-,2,972,855,1,37,"1,865"
Cohasset,-,3,"1,038",714,6,59,"1,817"
Colrain,-,1,615,405,0,30,"1,050"
Concord,-,1,"1,510",531,4,41,"2,086"
Concord,-,2,"1,855",566,3,54,"2,478"
Concord,-,3,"1,832",598,4,45,"2,479"
Concord,-,4,"1,944",634,2,69,"2,649"
Concord,-,5,"1,749",539,6,40,"2,334"
Conway,-,1,918,375,0,17,"1,310"
Cummington,-,1,396,184,0,7,587
Dalton,-,1,"1,145",637,10,68,"1,860"
Dalton,-,2,"1,169",565,0,90,"1,824"
Danvers,-,1,"1,099",899,0,54,"2,052"
Danvers,-,2,"1,085",952,5,58,"2,100"
Danvers,-,3,925,932,0,50,"1,907"
Danvers,-,4,"1,083",975,2,48,"2,108"
Danvers,-,5,"1,004","1,089",3,63,"2,159"
Danvers,-,6,"1,017","1,240",1,75,"2,333"
Danvers,-,7,"1,071","1,027",0,62,"2,160"
Danvers,-,8,818,861,4,33,"1,716"
Dartmouth,-,1,937,"1,409",3,86,"2,435"
Dartmouth,-,2,773,834,1,60,"1,668"
Dartmouth,-,3,161,141,0,12,314
Dartmouth,-,4,981,"1,121",4,56,"2,162"
Dartmouth,-,5,"1,028","1,072",5,60,"2,165"
Dartmouth,-,6,901,"1,022",0,76,"1,999"
Dartmouth,-,7,"1,080","1,200",1,81,"2,362"
Dartmouth,-,8,"1,424","1,143",2,81,"2,650"
Dartmouth,-,9,"1,460","1,256",0,78,"2,794"
Dedham,-,1,"1,351",701,4,61,"2,117"
Dedham,-,2,"1,329",925,5,60,"2,319"
Dedham,-,3,"1,174",621,3,53,"1,851"
Dedham,-,4,"1,245",744,4,68,"2,061"
Dedham,-,5,"1,264",934,1,70,"2,269"
Dedham,-,6,"1,287",792,4,72,"2,155"
Dedham,-,7,"1,268","1,053",4,82,"2,407"
Deerfield,-,1,"2,217","1,024",3,64,"3,308"
Dennis,-,1,"1,161","1,133",4,31,"2,329"
Dennis,-,2,"1,254","1,084",0,42,"2,380"
Dennis,-,3,847,695,0,31,"1,573"
Dennis,-,4,"1,093","1,046",3,35,"2,177"
Dennis,-,5,977,857,2,21,"1,857"
Dighton,-,1,609,995,0,48,"1,652"
Dighton,-,2,571,"1,009",0,67,"1,647"
Dighton,-,3,595,918,0,63,"1,576"
Douglas,-,1,711,"1,181",0,35,"1,927"
Douglas,-,2,737,"1,251",0,46,"2,034"
Douglas,-,3,706,"1,161",0,45,"1,912"
Dover,-,1,"2,033","1,634",15,112,"3,794"
Dracut,-,1,813,800,0,51,"1,664"
Dracut,-,2,788,873,0,52,"1,713"
Dracut,-,3,830,"1,002",0,58,"1,890"
Dracut,-,4,964,"1,357",0,73,"2,394"
Dracut,-,5,828,"1,128",0,40,"1,996"
Dracut,-,6,813,862,0,56,"1,731"
Dracut,-,6A,42,38,0,2,82
Dracut,-,7,868,863,0,58,"1,789"
Dracut,-,8,938,"1,387",0,76,"2,401"
Dracut,-,9,876,"1,033",0,53,"1,962"
Dudley,-,1,756,"1,073",0,29,"1,858"
Dudley,-,2,600,834,0,41,"1,475"
Dudley,-,3,506,790,1,31,"1,328"
Dudley,-,4,683,"1,030",1,30,"1,744"
Dunstable,-,1,"1,072","1,107",4,48,"2,231"
Duxbury,-,1,995,963,0,48,"2,006"
Duxbury,-,2,890,871,2,42,"1,805"
Duxbury,-,3,935,813,8,27,"1,783"
Duxbury,-,4,900,833,5,41,"1,779"
Duxbury,-,5,869,826,0,29,"1,724"
Duxbury,-,6,876,789,2,33,"1,700"
"E. Bridgewater",-,1,820,"1,258",2,81,"2,161"
"E. Bridgewater",-,2,904,"1,227",0,72,"2,203"
"E. Bridgewater",-,3,879,"1,307",1,53,"2,240"
"E. Bridgewater",-,4,821,"1,179",6,50,"2,056"
"E. Brookfield",-,1,535,809,0,19,"1,363"
"E. Longmeadow",-,1,982,893,4,5,"1,884"
"E. Longmeadow",-,2,908,923,5,55,"1,891"
"E. Longmeadow",-,2A,8,3,0,3,14
"E. Longmeadow",-,3,942,918,1,56,"1,917"
"E. Longmeadow",-,3A,44,60,0,1,105
"E. Longmeadow",-,4,723,983,1,47,"1,754"
"E. Longmeadow",-,4A,164,219,1,9,393
"E. Longmeadow",-,5,844,"1,027",4,53,"1,928"
Eastham,-,1,"2,700","1,388",3,73,"4,164"
Easthampton,-,1,"1,424",589,2,40,"2,055"
Easthampton,-,2,"1,428",433,1,31,"1,893"
Easthampton,-,3,"1,594",492,3,47,"2,136"
Easthampton,-,4,"1,529",449,2,42,"2,022"
Easthampton,-,5,"1,261",855,3,36,"2,155"
Easton,-,1,"1,221","1,081",1,73,"2,376"
Easton,-,2,"1,194",976,1,98,"2,269"
Easton,-,3,477,433,1,32,943
Easton,-,4A,533,522,2,22,"1,079"
Easton,-,4B,600,592,2,42,"1,236"
Easton,-,5,"1,144",853,3,58,"2,058"
Easton,-,6,"1,035","1,104",5,82,"2,226"
Easton,-,7,"1,107",991,4,47,"2,149"
Edgartown,-,1,"1,840","1,014",3,79,"2,936"
Egremont,-,1,741,187,1,27,956
Erving,-,1,511,442,1,24,978
Essex,-,1,"1,389",987,5,57,"2,438"
Everett,1,1,439,229,2,36,706
Everett,1,2,340,159,4,21,524
Everett,1,3,263,105,0,24,392
Everett,1,3A,139,62,0,5,206
Everett,2,1,486,265,3,32,786
Everett,2,2,201,100,0,13,314
Everett,2,2A,211,88,1,10,310
Everett,2,3,397,190,4,23,614
Everett,3,1,606,308,2,59,975
Everett,3,2,484,241,1,38,764
Everett,3,3,362,166,2,24,554
Everett,4,1,520,264,0,27,811
Everett,4,2,464,255,2,25,746
Everett,4,3,466,238,0,26,730
Everett,5,1,434,242,3,29,708
Everett,5,2,419,195,3,28,645
Everett,5,3,439,194,0,20,653
Everett,6,1,500,239,1,29,769
Everett,6,2,408,218,1,28,655
Everett,6,3,532,229,2,33,796
Fairhaven,-,1,890,674,3,47,"1,614"
Fairhaven,-,2,797,744,4,29,"1,574"
Fairhaven,-,3,618,728,1,33,"1,380"
Fairhaven,-,4,815,806,1,58,"1,680"
Fairhaven,-,5,765,874,2,61,"1,702"
Fairhaven,-,6,714,914,0,50,"1,678"
"Fall River",1,A,734,844,3,80,"1,661"
"Fall River",1,B,524,534,1,68,"1,127"
"Fall River",1,C,547,635,2,55,"1,239"
"Fall River",2,A,435,392,3,59,889
"Fall River",2,B,408,356,3,49,816
"Fall River",2,C,476,446,0,59,981
"Fall River",3,A,556,534,0,59,"1,149"
"Fall River",3,B,517,537,0,38,"1,092"
"Fall River",3,C,673,655,1,62,"1,391"
"Fall River",4,A,433,333,2,31,799
"Fall River",4,B,380,294,1,37,712
"Fall River",4,C,520,299,3,50,872
"Fall River",5,A,344,280,5,37,666
"Fall River",5,B,330,212,1,33,576
"Fall River",5,C,398,342,1,44,785
"Fall River",6,A,613,676,3,54,"1,346"
"Fall River",6,B,591,473,0,46,"1,110"
"Fall River",6,C,528,514,2,61,"1,105"
"Fall River",7,A,686,561,1,50,"1,298"
"Fall River",7,B,486,362,0,36,884
"Fall River",7,C,543,447,3,45,"1,038"
"Fall River",8,A,484,507,2,44,"1,037"
"Fall River",8,B,760,694,3,65,"1,522"
"Fall River",8,C,815,737,1,77,"1,630"
"Fall River",9,A,953,973,1,87,"2,014"
"Fall River",9,B,720,685,2,73,"1,480"
"Fall River",9,C,829,697,4,57,"1,587"
Falmouth,-,1,"1,883",631,2,61,"2,577"
Falmouth,-,2,"1,454",844,4,66,"2,368"
Falmouth,-,3,"1,304","1,035",5,51,"2,395"
Falmouth,-,4,"1,344","1,143",1,60,"2,548"
Falmouth,-,5,"1,507","1,152",3,67,"2,729"
Falmouth,-,6,"1,548","1,018",4,60,"2,630"
Falmouth,-,7,"1,229","1,127",7,53,"2,416"
Falmouth,-,8,"1,293","1,076",1,78,"2,448"
Falmouth,-,9,"1,116",959,6,60,"2,141"
Fitchburg,1,A,631,434,4,27,"1,096"
Fitchburg,1,B,748,524,2,18,"1,292"
Fitchburg,2,A,560,436,3,24,"1,023"
Fitchburg,2,B,722,623,4,23,"1,372"
Fitchburg,3,A,"1,044",990,6,51,"2,091"
Fitchburg,3,B,742,706,4,37,"1,489"
Fitchburg,4,A,503,359,3,32,897
Fitchburg,4,B,647,341,5,35,"1,028"
Fitchburg,5,A,983,949,3,41,"1,976"
Fitchburg,5,B,488,332,6,17,843
Fitchburg,6,A,906,813,1,46,"1,766"
Fitchburg,6,B,599,396,5,24,"1,024"
Florida,-,1,182,226,0,8,416
Foxborough,-,1,970,891,0,58,"1,919"
Foxborough,-,2,"1,200","1,292",3,70,"2,565"
Foxborough,-,3,994,"1,060",3,49,"2,106"
Foxborough,-,4,"1,146","1,153",2,65,"2,366"
Foxborough,-,5,"1,099","1,095",5,57,"2,256"
Framingham,-,1,283,134,0,19,436
Framingham,-,2,302,110,2,22,436
Framingham,-,3,309,130,4,14,457
Framingham,-,4,391,181,0,23,595
Framingham,-,5,477,246,4,28,755
Framingham,-,6,977,415,3,43,"1,438"
Framingham,-,7,997,443,7,30,"1,477"
Framingham,-,8,545,240,2,23,810
Framingham,-,9A,710,321,1,29,"1,061"
Framingham,-,9B,36,16,0,1,53
Framingham,-,10,483,213,0,16,712
Framingham,-,11,632,289,1,31,953
Framingham,-,12,555,190,3,26,774
Framingham,-,13,379,131,1,17,528
Framingham,-,14,486,207,6,20,719
Framingham,-,15,529,215,1,23,768
Framingham,-,16,750,431,2,46,"1,229"
Framingham,-,17,983,383,3,29,"1,398"
Framingham,-,18,"1,057",523,3,38,"1,621"
Framingham,-,19,"1,048",503,4,23,"1,578"
Framingham,-,20,"1,020",460,2,42,"1,524"
Framingham,-,21A,721,360,4,32,"1,117"
Framingham,-,21B,482,225,1,15,723
Framingham,-,21C,27,12,0,1,40
Framingham,-,22,"1,090",500,1,60,"1,651"
Framingham,-,23,937,543,3,32,"1,515"
Framingham,-,24,998,463,6,34,"1,501"
Framingham,-,25,989,509,2,42,"1,542"
Framingham,-,26,889,452,3,42,"1,386"
Framingham,-,27,903,389,4,41,"1,337"
Franklin,-,1,"1,168",963,3,65,"2,199"
Franklin,-,2,931,869,1,61,"1,862"
Franklin,-,3,"1,148","1,037",4,58,"2,247"
Franklin,-,4,"1,210","1,152",3,56,"2,421"
Franklin,-,5,"1,227",986,5,65,"2,283"
Franklin,-,6,"1,223",973,1,54,"2,251"
Franklin,-,7,"1,352","1,094",3,41,"2,490"
Franklin,-,8,"1,173","1,262",2,60,"2,497"
Franklin,-,9,"1,028",744,1,47,"1,820"
Freetown,-,1,725,"1,041",3,65,"1,834"
Freetown,-,2,722,"1,125",2,45,"1,894"
Freetown,-,3,698,"1,088",9,64,"1,859"
Gardner,1,A,587,503,0,25,"1,115"
Gardner,1,B,307,344,0,11,662
Gardner,2,A,518,507,0,13,"1,038"
Gardner,2,B,494,637,1,21,"1,153"
Gardner,3,A,417,439,2,18,876
Gardner,3,B,546,485,2,20,"1,053"
Gardner,4,A,479,398,0,15,892
Gardner,4,B,381,357,0,15,753
Gardner,5,A,381,415,4,14,814
Gardner,5,B,569,546,1,17,"1,133"
Georgetown,-,1,833,"1,032",2,39,"1,906"
Georgetown,-,2,844,915,1,36,"1,796"
Georgetown,-,3,893,947,0,33,"1,873"
Gill,-,1,650,334,1,31,"1,016"
Gloucester,1,1,"1,354",745,0,59,"2,158"
Gloucester,1,2,"1,026",667,2,39,"1,734"
Gloucester,2,1,892,526,3,41,"1,462"
Gloucester,2,2,792,418,2,25,"1,237"
Gloucester,3,1,800,532,3,33,"1,368"
Gloucester,3,2,878,641,2,57,"1,578"
Gloucester,4,1,"1,018",765,0,57,"1,840"
Gloucester,4,2,"1,471",671,3,53,"2,198"
Gloucester,5,1,"1,180",889,1,53,"2,123"
Gloucester,5,2,"1,212",922,4,62,"2,200"
Goshen,-,1,385,277,0,9,671
Gosnold,-,1,46,23,0,1,70
Grafton,-,1,"1,160",996,1,52,"2,209"
Grafton,-,2,"1,295",999,1,50,"2,345"
Grafton,-,3,"1,219",975,1,48,"2,243"
Grafton,-,4,"1,093",855,4,47,"1,999"
Grafton,-,5,"1,439","1,005",3,46,"2,493"
Granby,-,1,975,963,0,51,"1,989"
Granby,-,2,817,"1,071",0,62,"1,950"
Granby,-,2A,21,24,0,0,45
Granville,-,1,341,629,0,25,995
"Great Barrington",-,A,843,178,1,31,"1,053"
"Great Barrington",-,B,774,239,0,30,"1,043"
"Great Barrington",-,C,601,107,2,24,734
"Great Barrington",-,D,885,223,4,19,"1,131"
Greenfield,-,1,673,428,0,25,"1,126"
Greenfield,-,2,901,412,2,20,"1,335"
Greenfield,-,3,786,346,3,61,"1,196"
Greenfield,-,4,852,296,0,4,"1,152"
Greenfield,-,5,914,240,0,33,"1,187"
Greenfield,-,6,816,213,7,16,"1,052"
Greenfield,-,7,619,285,1,12,917
Greenfield,-,8,662,232,6,21,921
Greenfield,-,9,447,221,1,23,692
Groton,-,1,"1,610",916,2,70,"2,598"
Groton,-,2,"1,372",937,2,59,"2,370"
Groton,-,3,"1,422",870,3,61,"2,356"
Groveland,-,1,"1,016","1,151",0,30,"2,197"
Groveland,-,2,"1,059","1,168",0,45,"2,272"
Hadley,-,1,"2,199","1,078",2,63,"3,342"
Halifax,-,1,936,"1,546",0,49,"2,531"
Halifax,-,2,922,"1,346",0,48,"2,316"
Halifax,-,2A,26,64,0,3,93
Hamilton,-,1,"1,408",986,2,49,"2,445"
Hamilton,-,2,"1,405",942,3,44,"2,394"
Hampden,-,1,"1,346","1,878",1,68,"3,293"
Hancock,-,1,233,249,0,13,495
Hanover,-,1,"1,070","1,531",2,64,"2,667"
Hanover,-,2,"1,012","1,336",4,49,"2,401"
Hanover,-,3,960,"1,212",10,53,"2,235"
Hanover,-,4,"1,024","1,428",5,58,"2,515"
Hanson,-,1,886,"1,318",7,56,"2,267"
Hanson,-,2,967,"1,431",4,46,"2,448"
Hanson,-,3,839,"1,263",5,49,"2,156"
Hardwick,-,1,671,883,0,30,"1,584"
Harvard,-,1,"2,832","1,126",8,88,"4,054"
Harwich,-,1,"1,448","1,098",1,53,"2,600"
Harwich,-,2,"1,304",995,1,28,"2,328"
Harwich,-,3,"1,258","1,018",3,28,"2,307"
Harwich,-,4,"1,131",966,1,32,"2,130"
Hatfield,-,1,"1,428",772,2,49,"2,251"
Haverhill,1,1,430,239,0,26,695
Haverhill,1,2,475,249,0,20,744
Haverhill,1,2A,166,155,0,3,324
Haverhill,1,3,380,264,0,26,670
Haverhill,1,3A,247,208,0,13,468
Haverhill,2,1,822,640,0,31,"1,493"
Haverhill,2,2,886,633,5,44,"1,568"
Haverhill,2,3,547,334,1,26,908
Haverhill,3,1,663,362,0,47,"1,072"
Haverhill,3,2,620,349,0,30,999
Haverhill,3,3,585,393,1,30,"1,009"
Haverhill,4,1,972,856,4,52,"1,884"
Haverhill,4,2,989,"1,027",2,59,"2,077"
Haverhill,4,3,897,881,5,43,"1,826"
Haverhill,5,1,512,397,0,28,937
Haverhill,5,1A,368,299,2,15,684
Haverhill,5,2,969,953,5,39,"1,966"
Haverhill,5,3,824,"1,001",1,33,"1,859"
Haverhill,5,3A,67,67,0,6,140
Haverhill,6,1,819,764,1,46,"1,630"
Haverhill,6,2,598,512,1,26,"1,137"
Haverhill,6,2A,287,167,0,14,468
Haverhill,6,3,932,782,1,40,"1,755"
Haverhill,7,1,893,709,2,36,"1,640"
Haverhill,7,2,592,587,2,29,"1,210"
Haverhill,7,2A,214,152,0,13,379
Haverhill,7,3,983,977,1,62,"2,023"
Haverhill,7,3A,15,11,0,0,26
Hawley,-,1,114,79,0,3,196
Heath,-,1,270,196,0,6,472
Hingham,-,1,"1,201",915,3,55,"2,174"
Hingham,-,2,"1,325",944,7,36,"2,312"
Hingham,-,3,"1,163",924,7,43,"2,137"
Hingham,-,4,"1,258",980,4,44,"2,286"
Hingham,-,5,"1,093","1,129",3,47,"2,272"
Hingham,-,6,"1,148",952,6,51,"2,157"
Hingham,-,7,652,610,2,37,"1,301"
Hingham,-,7A,881,294,1,34,"1,210"
Hinsdale,-,1,710,474,1,33,"1,218"
Holbrook,-,1,874,559,0,37,"1,470"
Holbrook,-,2,749,771,3,37,"1,560"
Holbrook,-,3,798,668,2,45,"1,513"
Holbrook,-,4,801,620,2,38,"1,461"
Holden,-,1,982,"1,054",0,45,"2,081"
Holden,-,2,"1,052",880,0,46,"1,978"
Holden,-,3,"1,112","1,002",0,36,"2,150"
Holden,-,4,"1,142","1,015",0,44,"2,201"
Holden,-,5,"1,088",968,0,50,"2,106"
Holden,-,6,"1,095",981,0,49,"2,125"
Holland,-,1,624,929,0,36,"1,589"
Holliston,-,1,"1,497",939,2,39,"2,477"
Holliston,-,2,"1,471",809,4,48,"2,332"
Holliston,-,3,"1,336",753,4,40,"2,133"
Holliston,-,4,"1,538",866,2,49,"2,455"
Holyoke,1,A,372,157,0,32,561
Holyoke,1,B,517,140,0,49,706
Holyoke,2,A,501,216,1,39,757
Holyoke,2,B,347,145,0,29,521
Holyoke,3,A,732,299,0,34,"1,065"
Holyoke,3,B,791,530,0,38,"1,359"
Holyoke,4,A,377,170,1,34,582
Holyoke,4,B,599,219,0,35,853
Holyoke,5,A,942,850,0,45,"1,837"
Holyoke,5,B,672,491,1,38,"1,202"
Holyoke,6,A,669,311,0,36,"1,016"
Holyoke,6,B,844,378,1,51,"1,274"
Holyoke,7,A,"1,136",582,1,50,"1,769"
Holyoke,7,B,"1,051",367,1,38,"1,457"
Hopedale,-,1,"1,885","1,640",4,87,"3,616"
Hopkinton,-,1,"1,109",598,2,29,"1,738"
Hopkinton,-,2,"1,229",856,4,42,"2,131"
Hopkinton,-,3,"1,225",811,3,51,"2,090"
Hopkinton,-,4,"1,364",861,2,26,"2,253"
Hopkinton,-,5,"1,333",864,1,50,"2,248"
Hubbardston,-,1,"1,166","1,742",5,64,"2,977"
Hudson,-,1,"1,073",750,2,39,"1,864"
Hudson,-,2,907,677,2,40,"1,626"
Hudson,-,3,"1,079",832,1,37,"1,949"
Hudson,-,4,"1,240",984,1,61,"2,286"
Hudson,-,5,"1,290",829,1,39,"2,159"
Hudson,-,6,867,645,2,35,"1,549"
Hull,-,1,"1,428",888,4,47,"2,367"
Hull,-,2,"1,084","1,015",1,47,"2,147"
Hull,-,3,"1,360",995,9,40,"2,404"
Huntington,-,1,539,686,0,14,"1,239"
Ipswich,-,1,"1,462",715,0,51,"2,228"
Ipswich,-,2,"1,468",927,6,50,"2,451"
Ipswich,-,3,"1,276","1,151",4,57,"2,488"
Ipswich,-,4,"1,398","1,022",2,44,"2,466"
Kingston,-,1,982,"1,123",4,54,"2,163"
Kingston,-,2,988,"1,273",1,51,"2,313"
Kingston,-,3,933,"1,288",2,37,"2,260"
Kingston,-,4,943,"1,047",3,31,"2,024"
Lakeville,-,1,930,"1,545",0,70,"2,545"
Lakeville,-,2,"1,081","1,643",2,72,"2,798"
Lakeville,-,3,969,"1,476",1,66,"2,512"
Lancaster,-,1,906,941,4,46,"1,897"
Lancaster,-,2,"1,211","1,110",5,52,"2,378"
Lanesborough,-,1,"1,135",658,2,67,"1,862"
Lawrence,A,1,675,248,1,32,956
Lawrence,A,2,383,153,0,36,572
Lawrence,A,2A,98,33,0,8,139
Lawrence,A,3,460,268,3,24,755
Lawrence,A,4,683,295,1,30,"1,009"
Lawrence,B,1,641,187,3,61,892
Lawrence,B,2,446,144,3,30,623
Lawrence,B,3,536,175,1,49,761
Lawrence,B,4,582,161,1,75,819
Lawrence,C,1,502,177,2,59,740
Lawrence,C,2,615,262,4,43,924
Lawrence,C,3,442,120,2,46,610
Lawrence,C,4,435,155,1,88,679
Lawrence,D,1,695,284,2,32,"1,013"
Lawrence,D,2,555,190,3,68,816
Lawrence,D,3,345,110,1,47,503
Lawrence,D,4,606,158,3,53,820
Lawrence,E,1,792,494,2,39,"1,327"
Lawrence,E,1A,25,16,0,3,44
Lawrence,E,2,800,461,5,39,"1,305"
Lawrence,E,3,567,309,2,34,912
Lawrence,E,4,567,252,5,50,874
Lawrence,F,1,864,399,4,51,"1,318"
Lawrence,F,2,520,172,1,37,730
Lawrence,F,3,736,252,3,47,"1,038"
Lawrence,F,4,700,288,3,51,"1,042"
Lee,-,1,"2,127","1,016",4,111,"3,258"
Leicester,-,1,630,994,2,30,"1,656"
Leicester,-,2,735,800,1,18,"1,554"
Leicester,-,3,660,928,2,27,"1,617"
Leicester,-,4,642,851,4,24,"1,521"
Lenox,-,1,"2,487",720,2,88,"3,297"
Leominster,1,A,790,877,1,51,"1,719"
Leominster,1,B,842,719,0,80,"1,641"
Leominster,1,C,691,545,2,51,"1,289"
Leominster,2,A,575,437,0,42,"1,054"
Leominster,2,B,646,596,1,55,"1,298"
Leominster,2,C,458,416,3,29,906
Leominster,3,A,729,583,3,39,"1,354"
Leominster,3,B,904,760,0,60,"1,724"
Leominster,3,C,735,776,4,61,"1,576"
Leominster,4,A,812,893,1,54,"1,760"
Leominster,4,B,764,795,0,62,"1,621"
Leominster,4,C,655,596,0,64,"1,315"
Leominster,5,A,650,547,0,53,"1,250"
Leominster,5,B,803,660,0,42,"1,505"
Leominster,5,C,571,441,0,27,"1,039"
Leverett,-,1,"1,095",190,2,23,"1,310"
Lexington,-,1,"1,425",468,1,52,"1,946"
Lexington,-,2,"1,753",434,4,67,"2,258"
Lexington,-,3,"1,352",345,1,48,"1,746"
Lexington,-,4,"1,557",467,2,66,"2,092"
Lexington,-,5,"1,440",574,5,60,"2,079"
Lexington,-,6,"1,564",545,9,71,"2,189"
Lexington,-,7,"1,472",541,0,61,"2,074"
Lexington,-,8,"1,482",473,1,63,"2,019"
Lexington,-,9,"1,645",486,5,64,"2,200"
Leyden,-,1,310,181,0,5,496
Lincoln,-,1,"1,942",469,0,53,"2,464"
Lincoln,-,2,"1,144",396,2,41,"1,583"
Littleton,-,1,"1,354",824,0,57,"2,235"
Littleton,-,2,"1,275",828,0,56,"2,159"
Littleton,-,3,"1,332",811,0,49,"2,192"
Longmeadow,-,A,"1,202",778,0,48,"2,028"
Longmeadow,-,B,"1,096",710,7,39,"1,852"
Longmeadow,-,C,"1,130",878,3,54,"2,065"
Longmeadow,-,D,"1,072",884,6,46,"2,008"
Longmeadow,-,E,"1,092",731,2,64,"1,889"
Lowell,1,1,569,380,2,42,993
Lowell,1,1A,0,0,0,0,0
Lowell,1,2,709,559,4,70,"1,342"
Lowell,1,3,"1,270",769,3,88,"2,130"
Lowell,1,4,526,442,2,43,"1,013"
Lowell,2,1,588,310,3,51,952
Lowell,2,2,578,345,3,46,972
Lowell,2,3,766,421,3,34,"1,224"
Lowell,2,4,692,404,1,49,"1,146"
Lowell,3,1,652,290,0,53,995
Lowell,3,2,"1,245",923,3,81,"2,252"
Lowell,3,3,"1,073",640,2,65,"1,780"
Lowell,3,4,714,444,3,47,"1,208"
Lowell,4,1,519,167,6,47,739
Lowell,4,2,"1,025",304,1,60,"1,390"
Lowell,4,3,281,73,2,20,376
Lowell,4,3A,190,39,1,5,235
Lowell,4,4,465,325,1,33,824
Lowell,4,4A,7,0,0,0,7
Lowell,5,1,661,356,3,63,"1,083"
Lowell,5,1A,177,60,0,14,251
Lowell,5,2,598,343,4,53,998
Lowell,5,3,452,227,3,42,724
Lowell,5,4,725,483,3,55,"1,266"
Lowell,6,1,652,285,3,85,"1,025"
Lowell,6,2,427,174,1,105,707
Lowell,6,3,341,129,1,51,522
Lowell,6,3A,77,44,0,20,141
Lowell,6,4,423,205,1,40,669
Lowell,6,4A,182,76,1,21,280
Lowell,7,1,479,203,2,78,762
Lowell,7,2,541,190,1,81,813
Lowell,7,3,604,178,3,91,876
Lowell,7,4,378,155,2,60,595
Lowell,8,1,655,334,3,72,"1,064"
Lowell,8,2,651,289,1,54,995
Lowell,8,3,976,598,4,111,"1,689"
Lowell,8,4,766,446,4,92,"1,308"
Lowell,8,4A,33,11,0,2,46
Ludlow,-,1,869,"1,019",1,72,"1,961"
Ludlow,-,2,703,661,1,59,"1,424"
Ludlow,-,3,852,"1,431",1,48,"2,332"
Ludlow,-,4,860,931,1,74,"1,866"
Ludlow,-,5,659,815,1,45,"1,520"
Ludlow,-,6,962,"1,151",2,67,"2,182"
Lunenburg,-,A,885,891,0,37,"1,813"
Lunenburg,-,B,878,826,1,39,"1,744"
Lunenburg,-,B1,40,39,0,2,81
Lunenburg,-,C,811,884,1,29,"1,725"
Lunenburg,-,C1,8,5,0,0,13
Lunenburg,-,D,992,929,4,40,"1,965"
Lynn,1,1,"1,120","1,026",0,63,"2,209"
Lynn,1,2,841,746,2,56,"1,645"
