City/Town,Ward,Pct,"Richard E. Neal","Dean James Martilli","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Westfield,6,B,515,511,1,22,"1,049"
Westfield,6,B1,26,45,0,6,77
Wilbraham,-,A,960,699,1,38,"1,698"
Wilbraham,-,B,832,674,1,44,"1,551"
Wilbraham,-,C,870,797,2,27,"1,696"
Wilbraham,-,D,968,784,2,34,"1,788"
Williamstown,-,1,"1,024",164,4,30,"1,222"
Williamstown,-,2,299,30,0,12,341
Williamstown,-,3,"1,146",184,0,31,"1,361"
Windsor,,,277,109,0,11,397
Worthington,,,453,207,0,31,691
TOTALS,,,"157,635","98,386",378,"7,252","263,651"
