City/Town,Ward,Pct,"Tara Decristofaro","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Melrose,1,1,845,9,458,"1,312"
Melrose,1,2,851,12,403,"1,266"
Melrose,2,1,887,8,508,"1,403"
Melrose,2,2,797,10,430,"1,237"
Melrose,3,1,845,12,407,"1,264"
Melrose,3,2,778,7,415,"1,200"
Melrose,4,1,845,7,378,"1,230"
Melrose,4,2,884,17,575,"1,476"
Melrose,5,1,"1,063",9,375,"1,447"
Melrose,5,2,871,7,367,"1,245"
Melrose,6,1,904,16,404,"1,324"
Melrose,6,2,862,7,468,"1,337"
Melrose,7,1,837,11,410,"1,258"
Melrose,7,2,833,17,489,"1,339"
Natick,-,1,"1,006",3,429,"1,438"
Natick,-,2,"1,545",9,808,"2,362"
Natick,-,3,"1,455",8,771,"2,234"
Natick,-,4,"1,466",0,666,"2,132"
Natick,-,5,"1,410",6,776,"2,192"
Natick,-,6,"1,459",8,699,"2,166"
Natick,-,7,"1,584",9,678,"2,271"
Natick,-,8,"1,562",2,780,"2,344"
Natick,-,9,"1,471",4,679,"2,154"
Natick,-,10,"1,739",22,888,"2,649"
Newton,1,1,"1,028",16,467,"1,511"
Newton,1,2,"1,069",10,449,"1,528"
Newton,1,3,"1,130",16,488,"1,634"
Newton,1,4,"1,007",15,587,"1,609"
Newton,2,1,"1,061",13,587,"1,661"
Newton,2,2,765,9,369,"1,143"
Newton,2,3,"1,222",13,603,"1,838"
Newton,2,4,"1,154",6,646,"1,806"
Newton,3,1,"1,131",16,596,"1,743"
Newton,3,2,"1,165",8,566,"1,739"
Newton,3,3,"1,093",24,600,"1,717"
Newton,3,4,"1,097",20,588,"1,705"
Newton,4,1,"1,046",7,566,"1,619"
Newton,4,2,939,17,478,"1,434"
Newton,4,3,698,4,391,"1,093"
Newton,4,4,990,12,566,"1,568"
Newton,5,1,"1,033",22,488,"1,543"
Newton,5,2,"1,110",11,497,"1,618"
Newton,5,3,"1,276",16,659,"1,951"
Newton,5,4,"1,216",5,636,"1,857"
Newton,6,1,935,14,595,"1,544"
Newton,6,2,"1,072",14,553,"1,639"
Newton,6,3,"1,176",14,576,"1,766"
Newton,6,4,"1,260",13,639,"1,912"
Newton,7,1,952,16,516,"1,484"
Newton,7,2,"1,241",17,642,"1,900"
Newton,7,3,374,9,152,535
Newton,7,4,543,4,295,842
Newton,8,1,"1,169",19,738,"1,926"
Newton,8,2,"1,125",22,644,"1,791"
Newton,8,3,"1,051",22,697,"1,770"
Newton,8,4,718,16,411,"1,145"
"N. Reading",-,1,"1,567",30,"1,015","2,612"
"N. Reading",-,2,"1,539",23,849,"2,411"
"N. Reading",-,3,"1,540",19,896,"2,455"
"N. Reading",-,4,"1,581",14,934,"2,529"
Pepperell,-,1,"1,462",37,992,"2,491"
Pepperell,-,2,"1,457",51,"1,035","2,543"
Pepperell,-,3,"1,414",39,865,"2,318"
Reading,-,1,"1,394",20,905,"2,319"
Reading,-,2,"1,356",3,693,"2,052"
Reading,-,3,"1,558",17,970,"2,545"
Reading,-,4,"1,308",15,791,"2,114"
Reading,-,5,"1,342",21,753,"2,116"
Reading,-,6,"1,019",13,697,"1,729"
Reading,-,7,"1,277",12,859,"2,148"
Reading,-,8,"1,253",14,839,"2,106"
Sherborn,-,1,"1,972",9,"1,010","2,991"
Shirley,-,1,"2,206",56,"1,455","3,717"
Somerville,1,1,994,17,364,"1,375"
Somerville,1,2,"1,709",24,531,"2,264"
Somerville,1,3,"1,092",22,340,"1,454"
Somerville,2,1,"1,516",16,428,"1,960"
Somerville,2,2,"1,779",24,493,"2,296"
Somerville,2,3,"1,749",12,521,"2,282"
Somerville,3,1,"1,503",19,471,"1,993"
Somerville,3,2,"1,542",14,481,"2,037"
Somerville,3,3,"1,803",20,527,"2,350"
Somerville,4,1,"1,034",18,366,"1,418"
Somerville,4,2,"1,272",23,403,"1,698"
Somerville,4,3,"1,517",19,447,"1,983"
Somerville,5,1,"1,649",31,531,"2,211"
Somerville,5,2,"1,919",21,522,"2,462"
Somerville,5,3,"1,807",14,517,"2,338"
Somerville,6,1,"1,946",17,602,"2,565"
Somerville,6,2,"1,817",18,501,"2,336"
Somerville,6,3,908,19,296,"1,223"
Somerville,7,1,"1,763",19,490,"2,272"
Somerville,7,2,"1,463",12,439,"1,914"
Somerville,7,3,"1,442",13,493,"1,948"
