City/Town,Ward,Pct,"Marian T. Ryan","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Tewksbury,-,6,"1,069",65,497,"1,631"
Tewksbury,-,7,"1,278",67,592,"1,937"
Tewksbury,-,8,"1,157",58,492,"1,707"
Townsend,-,1,838,10,476,"1,324"
Townsend,-,2,841,23,466,"1,330"
Townsend,-,3,891,20,431,"1,342"
Tyngsborough,-,1,867,0,468,"1,335"
Tyngsborough,-,2,780,0,455,"1,235"
Tyngsborough,-,3,805,0,353,"1,158"
Tyngsborough,-,4,"1,045",0,565,"1,610"
Wakefield,-,1,"1,012",31,602,"1,645"
Wakefield,-,2,"1,072",26,472,"1,570"
Wakefield,-,3,"1,224",33,587,"1,844"
Wakefield,-,4,"1,012",28,499,"1,539"
Wakefield,-,5,"1,252",41,539,"1,832"
Wakefield,-,6,"1,369",32,593,"1,994"
Wakefield,-,7,"1,186",35,634,"1,855"
Waltham,1,1,"1,090",22,420,"1,532"
Waltham,1,2,"1,076",20,472,"1,568"
Waltham,1,2A,8,2,5,15
Waltham,2,1,"1,070",20,362,"1,452"
Waltham,2,2,790,16,171,977
Waltham,3,1,"1,062",18,513,"1,593"
Waltham,3,2,"1,119",18,349,"1,486"
Waltham,3,2A,20,0,10,30
Waltham,4,1,"1,134",25,379,"1,538"
Waltham,4,1A,21,1,4,26
Waltham,4,2,185,3,76,264
Waltham,5,1,795,20,310,"1,125"
Waltham,5,2,566,8,127,701
Waltham,5,2A,98,0,26,124
Waltham,6,1,856,22,206,"1,084"
Waltham,6,2,484,7,157,648
Waltham,6,2A,112,0,34,146
Waltham,7,1,"1,043",13,383,"1,439"
Waltham,7,2,335,5,94,434
Waltham,8,1,839,10,194,"1,043"
Waltham,8,2,841,11,248,"1,100"
Waltham,8,2A,10,0,1,11
Waltham,9,1,666,13,123,802
Waltham,9,2,598,20,153,771
Watertown,-,1,751,1,206,958
Watertown,-,2,907,1,208,"1,116"
Watertown,-,3,"1,050",2,223,"1,275"
Watertown,-,4,"1,208",0,270,"1,478"
Watertown,-,5,751,2,168,921
Watertown,-,6,873,6,183,"1,062"
Watertown,-,7,"1,016",12,278,"1,306"
Watertown,-,8,"1,006",0,250,"1,256"
Watertown,-,9,781,1,215,997
Watertown,-,10,988,3,275,"1,266"
Watertown,-,11,960,1,291,"1,252"
Watertown,-,12,890,5,270,"1,165"
Wayland,-,1,"1,391",25,428,"1,844"
Wayland,-,2,"1,221",24,375,"1,620"
Wayland,-,3,"1,184",12,349,"1,545"
Wayland,-,4,"1,424",19,412,"1,855"
Westford,-,1,"1,058",27,405,"1,490"
Westford,-,2,"1,092",28,356,"1,476"
Westford,-,3,"1,305",28,407,"1,740"
Westford,-,4,"1,193",24,376,"1,593"
Westford,-,5,"1,194",29,412,"1,635"
Westford,-,6,"1,174",44,419,"1,637"
Westford,-,7,"1,352",30,377,"1,759"
Weston,-,1,"1,041",23,388,"1,452"
Weston,-,2,889,11,372,"1,272"
Weston,-,3,811,12,343,"1,166"
Weston,-,4,873,15,398,"1,286"
Wilmington,-,1,"1,265",45,509,"1,819"
Wilmington,-,2,"1,172",43,549,"1,764"
Wilmington,-,3,"1,126",50,505,"1,681"
Wilmington,-,4,"1,191",42,546,"1,779"
Wilmington,-,5,"1,141",39,460,"1,640"
Wilmington,-,6,"1,195",70,599,"1,864"
Winchester,-,1,965,14,360,"1,339"
Winchester,-,2,828,22,286,"1,136"
Winchester,-,3,"1,063",16,389,"1,468"
Winchester,-,4,945,15,467,"1,427"
