City/Town,Ward,Pct,"Deborah B. Goldberg","Keiko M. Orrall","Jamie M. Guerin","All Others",Blanks,"Total Votes Cast"
Chelmsford,-,8,"1,180",570,47,0,115,"1,912"
Chelmsford,-,9,"1,208",632,70,1,121,"2,032"
Chelsea,1,1,299,40,11,0,24,374
Chelsea,1,2,178,19,3,0,14,214
Chelsea,1,3,234,27,10,0,32,303
Chelsea,1,4,256,11,4,0,20,291
Chelsea,2,1,686,173,37,0,57,953
Chelsea,2,2,406,50,17,0,55,528
Chelsea,2,3,162,21,7,0,15,205
Chelsea,2,4,259,28,12,0,41,340
Chelsea,3,1,252,33,12,0,29,326
Chelsea,3,2,385,51,15,0,34,485
Chelsea,3,3,300,48,8,0,31,387
Chelsea,3,4,330,48,14,0,34,426
Chelsea,4,1,335,64,15,0,25,439
Chelsea,4,2,344,121,27,0,51,543
Chelsea,4,3,357,112,21,0,46,536
Chelsea,4,4,271,62,11,0,33,377
Cheshire,-,1,909,440,81,1,81,"1,512"
Chester,-,1,259,258,35,1,22,575
Chesterfield,-,1,404,186,41,0,26,657
Chicopee,1,A,617,355,80,2,41,"1,095"
Chicopee,1,B,851,407,87,0,61,"1,406"
Chicopee,2,A,494,151,40,0,32,717
Chicopee,2,B,686,365,69,1,50,"1,171"
Chicopee,3,A,556,281,41,1,38,917
Chicopee,3,B,458,208,65,1,22,754
Chicopee,4,A,591,250,64,3,31,939
Chicopee,4,B,567,233,60,1,57,918
Chicopee,5,A,645,281,58,0,41,"1,025"
Chicopee,5,B,618,268,68,2,32,988
Chicopee,6,AN,189,86,11,0,15,301
Chicopee,6,AS,385,222,35,0,27,669
Chicopee,6,BE,580,480,52,3,47,"1,162"
Chicopee,6,BW,130,85,18,0,10,243
Chicopee,7,A,436,189,56,1,36,718
Chicopee,7,B,531,195,55,3,36,820
Chicopee,8,A,646,348,89,0,55,"1,138"
Chicopee,8,B,572,309,54,2,49,986
Chicopee,9,A,613,322,71,0,50,"1,056"
Chicopee,9,B,829,446,91,2,54,"1,422"
Chilmark,-,1,583,95,34,0,21,733
Clarksburg,-,1,464,200,18,0,33,715
Clinton,-,1,957,452,55,0,67,"1,531"
Clinton,-,2,861,397,52,1,52,"1,363"
Clinton,-,3,844,451,56,1,41,"1,393"
Clinton,-,4,808,399,54,2,51,"1,314"
Cohasset,-,1,"1,229",737,40,0,111,"2,117"
Cohasset,-,2,"1,409",774,46,0,120,"2,349"
Colrain,-,1,479,180,64,0,29,752
Concord,-,1,"1,434",396,53,0,77,"1,960"
Concord,-,2,"1,817",445,81,1,74,"2,418"
Concord,-,3,"1,569",440,53,0,82,"2,144"
Concord,-,4,"1,633",418,78,0,112,"2,241"
Concord,-,5,"1,038",300,31,1,58,"1,428"
Conway,-,1,812,191,80,0,33,"1,116"
Cummington,-,1,344,90,39,0,12,485
Dalton,-,1,988,332,70,0,87,"1,477"
Dalton,-,2,996,302,70,2,89,"1,459"
Danvers,-,1,"1,012",483,47,1,89,"1,632"
Danvers,-,2,996,511,38,2,81,"1,628"
Danvers,-,3,768,475,34,0,79,"1,356"
Danvers,-,4,969,503,42,1,117,"1,632"
Danvers,-,5,944,567,28,0,113,"1,652"
Danvers,-,6,961,630,25,2,120,"1,738"
Danvers,-,7,961,530,53,0,93,"1,637"
Danvers,-,8,809,529,31,1,59,"1,429"
Dartmouth,-,1,754,763,34,1,60,"1,612"
Dartmouth,-,2,550,387,34,0,52,"1,023"
Dartmouth,-,3,137,16,7,0,8,168
Dartmouth,-,4,877,512,25,0,72,"1,486"
Dartmouth,-,5,973,594,44,0,81,"1,692"
Dartmouth,-,6,705,420,27,0,53,"1,205"
Dartmouth,-,7,868,599,32,1,110,"1,610"
Dartmouth,-,8,"1,260",630,52,0,100,"2,042"
Dartmouth,-,9,"1,227",757,36,0,108,"2,128"
Dedham,-,1,"1,244",383,40,0,118,"1,785"
Dedham,-,2,"1,175",456,66,1,110,"1,808"
Dedham,-,3,"1,033",325,56,2,102,"1,518"
Dedham,-,4,"1,137",428,47,2,130,"1,744"
Dedham,-,5,"1,199",480,50,0,127,"1,856"
Dedham,-,6,"1,227",487,60,0,120,"1,894"
Dedham,-,7,"1,134",505,39,0,156,"1,834"
Deerfield,-,1,"1,868",538,153,0,94,"2,653"
Dennis,-,1,"1,044",723,26,0,60,"1,853"
Dennis,-,2,"1,059",664,38,0,94,"1,855"
Dennis,-,3,870,460,43,0,58,"1,431"
Dennis,-,4,930,621,51,0,73,"1,675"
Dennis,-,5,970,487,32,0,72,"1,561"
Dighton,-,1,715,707,32,0,73,"1,527"
Dighton,-,2,835,781,45,1,81,"1,743"
Douglas,-,1,589,691,48,0,68,"1,396"
Douglas,-,2,643,615,39,0,76,"1,373"
Douglas,-,3,551,578,36,0,37,"1,202"
Dover,-,1,"1,795","1,088",65,0,185,"3,133"
Dracut,-,1,718,466,30,0,50,"1,264"
Dracut,-,2,675,380,40,0,55,"1,150"
Dracut,-,3,805,535,50,0,77,"1,467"
Dracut,-,4,846,767,47,0,102,"1,762"
Dracut,-,5,781,562,41,0,66,"1,450"
Dracut,-,6,752,479,41,0,74,"1,346"
Dracut,-,6A,36,18,1,0,7,62
Dracut,-,7,727,459,42,0,68,"1,296"
Dracut,-,8,"1,006",823,49,0,109,"1,987"
Dracut,-,9,849,520,46,0,77,"1,492"
Dudley,-,1,895,689,56,0,59,"1,699"
Dudley,-,2,664,597,52,0,49,"1,362"
Dudley,-,3,604,555,36,0,58,"1,253"
Dunstable,-,1,956,635,43,0,103,"1,737"
Duxbury,-,1,856,636,25,1,79,"1,597"
Duxbury,-,2,766,628,23,0,75,"1,492"
Duxbury,-,3,779,511,25,0,65,"1,380"
Duxbury,-,4,786,495,26,0,73,"1,380"
Duxbury,-,5,811,536,26,0,58,"1,431"
Duxbury,-,6,674,495,26,0,68,"1,263"
"E. Bridgewater",-,1,770,688,42,0,104,"1,604"
"E. Bridgewater",-,2,801,671,27,0,88,"1,587"
"E. Bridgewater",-,3,898,731,43,0,131,"1,803"
"E. Bridgewater",-,4,759,632,49,0,77,"1,517"
"E. Brookfield",-,1,485,478,40,0,30,"1,033"
"E. Longmeadow",-,1,"1,033",667,79,1,109,"1,889"
"E. Longmeadow",-,2,977,609,66,2,110,"1,764"
"E. Longmeadow",-,3,"1,005",709,63,0,133,"1,910"
"E. Longmeadow",-,4,964,861,59,0,130,"2,014"
Eastham,-,1,"2,154",950,88,2,113,"3,307"
Easthampton,-,1,"1,056",313,125,1,79,"1,574"
Easthampton,-,2,"1,230",234,219,0,68,"1,751"
Easthampton,-,3,"1,079",268,172,0,68,"1,587"
Easthampton,-,4,"1,387",280,156,2,66,"1,891"
Easthampton,-,5,"1,092",509,119,0,84,"1,804"
Easton,-,1,566,366,17,0,60,"1,009"
Easton,-,2,"1,172",689,52,0,108,"2,021"
Easton,-,3,958,566,43,0,63,"1,630"
Easton,-,4,"1,131",680,30,1,117,"1,959"
Easton,-,5,"1,303",698,29,1,117,"2,148"
Easton,-,6,"1,030",700,43,1,108,"1,882"
Edgartown,-,1,"1,596",609,82,1,126,"2,414"
Egremont,-,1,597,121,44,0,31,793
Erving,-,1,405,166,55,1,24,651
Essex,-,1,"1,237",617,86,0,102,"2,042"
Everett,1,1,529,149,39,2,57,776
Everett,1,2,416,142,27,0,50,635
Everett,2,1,637,153,16,3,35,844
Everett,2,2,526,128,24,0,50,728
Everett,3,1,730,170,29,2,75,"1,006"
Everett,3,2,654,151,28,2,56,891
Everett,4,1,746,205,23,3,50,"1,027"
Everett,4,2,624,131,23,1,55,834
Everett,5,1,638,150,30,2,49,869
Everett,5,2,634,132,29,2,70,867
Everett,6,1,686,183,32,3,48,952
Everett,6,2,702,153,15,1,63,934
Fairhaven,-,1,728,463,38,1,60,"1,290"
Fairhaven,-,2,685,415,22,1,57,"1,180"
Fairhaven,-,3,496,365,20,2,46,929
Fairhaven,-,4,637,431,29,1,67,"1,165"
Fairhaven,-,5,659,555,33,1,71,"1,319"
Fairhaven,-,6,597,554,25,1,57,"1,234"
"Fall River",1,A,606,364,35,0,80,"1,085"
"Fall River",1,B,404,236,24,1,64,729
"Fall River",1,C,416,253,21,0,72,762
"Fall River",2,A,341,123,15,0,47,526
"Fall River",2,B,307,134,25,1,23,490
"Fall River",2,C,365,151,21,0,67,604
"Fall River",3,A,535,211,25,0,47,818
"Fall River",3,B,451,197,18,0,52,718
"Fall River",3,C,492,238,24,0,47,801
"Fall River",4,A,327,153,21,0,41,542
"Fall River",4,B,287,106,19,1,41,454
"Fall River",4,C,381,76,22,0,65,544
"Fall River",5,A,222,83,13,0,33,351
"Fall River",5,B,198,62,10,0,27,297
"Fall River",5,B1,41,15,7,0,5,68
"Fall River",5,C,285,130,12,0,48,475
"Fall River",6,A,501,311,29,0,82,923
"Fall River",6,B,387,151,18,0,61,617
"Fall River",6,C,453,201,36,0,57,747
"Fall River",6,C1,8,4,0,0,0,12
"Fall River",7,A,517,240,37,1,56,851
"Fall River",7,B,373,155,22,0,24,574
"Fall River",7,C,457,180,27,0,70,734
"Fall River",8,A,448,157,33,0,63,701
"Fall River",8,B,702,318,35,1,92,"1,148"
"Fall River",8,C,744,376,27,1,111,"1,259"
"Fall River",9,A,886,466,36,1,125,"1,514"
"Fall River",9,B,536,303,27,0,128,994
"Fall River",9,C,580,297,35,1,97,"1,010"
Falmouth,-,1,"1,652",426,60,0,90,"2,228"
Falmouth,-,2,"1,241",537,48,0,87,"1,913"
Falmouth,-,3,"1,117",596,41,0,69,"1,823"
Falmouth,-,4,"1,156",680,35,0,62,"1,933"
Falmouth,-,5,"1,336",746,58,1,103,"2,244"
Falmouth,-,6,"1,222",648,73,1,93,"2,037"
Falmouth,-,7,"1,046",678,45,0,78,"1,847"
Falmouth,-,8,"1,078",693,59,0,71,"1,901"
Falmouth,-,9,"1,032",595,46,1,46,"1,720"
Fitchburg,1,A,480,212,34,1,28,755
Fitchburg,1,B,651,255,29,1,50,986
Fitchburg,2,A,472,150,26,0,26,674
Fitchburg,2,B,674,355,45,0,55,"1,129"
Fitchburg,3,A,911,537,44,0,86,"1,578"
Fitchburg,3,B,676,371,61,0,61,"1,169"
Fitchburg,4,A,294,156,24,0,34,508
Fitchburg,4,B,482,187,37,0,38,744
Fitchburg,5,A,815,525,45,1,85,"1,471"
Fitchburg,5,B,413,121,26,0,22,582
Fitchburg,6,A,778,408,36,0,61,"1,283"
Fitchburg,6,B,522,211,40,0,29,802
Florida,-,1,176,112,16,0,21,325
Foxborough,-,1,917,497,40,1,95,"1,550"
Foxborough,-,2,"1,085",573,35,0,123,"1,816"
Foxborough,-,3,"1,023",651,44,0,97,"1,815"
Foxborough,-,4,"1,001",617,47,1,89,"1,755"
Foxborough,-,5,925,600,50,0,90,"1,665"
Framingham,-,1,"1,346",471,52,2,92,"1,963"
Framingham,-,2,"1,658",503,60,1,112,"2,334"
Framingham,-,3,"1,241",293,42,1,72,"1,649"
Framingham,-,4,"1,425",439,57,1,93,"2,015"
Framingham,-,5,"1,282",441,38,2,84,"1,847"
Framingham,-,6,"1,325",413,47,2,85,"1,872"
Framingham,-,7,"1,215",354,44,2,70,"1,685"
Framingham,-,8,"1,216",338,50,4,54,"1,662"
Framingham,-,9,886,229,31,2,35,"1,183"
Framingham,-,10,663,140,26,1,31,861
Framingham,-,11,"1,417",481,48,2,89,"2,037"
Framingham,-,12,660,198,29,1,32,920
Framingham,-,13,837,215,57,1,41,"1,151"
Framingham,-,14,538,134,21,1,25,719
Framingham,-,15,680,140,29,1,30,880
Framingham,-,16,320,82,13,0,5,420
Framingham,-,17,373,35,10,0,8,426
Framingham,-,18,572,148,24,0,22,766
Franklin,-,1,"1,029",588,42,1,120,"1,780"
Franklin,-,2,"1,089",599,43,2,100,"1,833"
Franklin,-,3,"1,087",581,49,1,92,"1,810"
Franklin,-,4,"1,147",792,43,1,96,"2,079"
Franklin,-,5,"1,228",645,58,3,110,"2,044"
Franklin,-,6,"1,023",512,41,0,80,"1,656"
Franklin,-,7,"1,203",628,44,0,122,"1,997"
Franklin,-,8,"1,112",699,38,1,118,"1,968"
Freetown,-,1,543,660,16,1,54,"1,274"
Freetown,-,2,590,677,31,1,64,"1,363"
Freetown,-,3,519,708,28,0,61,"1,316"
Gardner,1,A,519,318,32,2,31,902
Gardner,1,B,188,131,12,0,21,352
Gardner,2,A,428,260,33,0,37,758
Gardner,2,B,483,324,40,0,47,894
Gardner,3,A,364,193,35,0,23,615
Gardner,3,B,492,261,41,0,33,827
Gardner,4,A,427,198,49,0,39,713
Gardner,4,B,253,124,34,0,18,429
Gardner,5,A,361,186,22,0,25,594
Gardner,5,B,462,344,46,0,40,892
Georgetown,-,1,802,633,41,0,72,"1,548"
Georgetown,-,2,759,511,37,2,63,"1,372"
Georgetown,-,3,737,452,35,1,66,"1,291"
Gill,-,1,538,173,54,1,31,797
Gloucester,1,1,"1,091",417,47,0,104,"1,659"
Gloucester,1,2,854,342,44,1,66,"1,307"
Gloucester,2,1,625,223,51,1,59,959
Gloucester,2,2,675,203,45,0,66,989
Gloucester,3,1,722,302,50,1,61,"1,136"
Gloucester,3,2,790,341,46,0,67,"1,244"
Gloucester,4,1,890,404,54,1,80,"1,429"
Gloucester,4,2,"1,253",392,73,0,89,"1,807"
Gloucester,5,1,"1,064",508,49,0,100,"1,721"
Gloucester,5,2,"1,004",488,63,1,95,"1,651"
Goshen,-,1,364,131,39,0,15,549
Gosnold,-,1,37,18,1,0,1,57
Grafton,-,1,982,559,53,0,71,"1,665"
Grafton,-,2,"1,029",578,57,0,80,"1,744"
Grafton,-,3,"1,047",578,43,0,76,"1,744"
Grafton,-,4,827,483,55,0,67,"1,432"
Grafton,-,5,"1,147",582,53,0,109,"1,891"
Granby,-,1,940,516,109,0,93,"1,658"
Granby,-,2,721,549,88,0,73,"1,431"
Granville,-,1,331,398,31,0,26,786
"Great Barrington",-,A,672,106,35,0,54,867
"Great Barrington",-,B,640,136,58,0,35,869
"Great Barrington",-,C,506,61,39,0,19,625
"Great Barrington",-,D,658,131,39,1,47,876
Greenfield,-,1,522,189,56,0,42,809
Greenfield,-,2,724,232,52,0,50,"1,058"
Greenfield,-,3,593,172,72,0,37,874
Greenfield,-,4,682,184,60,0,28,954
Greenfield,-,5,644,123,92,0,33,892
Greenfield,-,6,614,115,119,0,34,882
Greenfield,-,7,415,180,51,0,25,671
Greenfield,-,8,466,99,73,0,25,663
Greenfield,-,9,409,139,37,0,28,613
Groton,-,1,"1,299",586,45,1,87,"2,018"
Groton,-,2,"1,142",612,68,1,86,"1,909"
Groton,-,3,"1,174",567,54,0,115,"1,910"
Groveland,-,1,928,654,43,0,98,"1,723"
Groveland,-,2,917,699,41,0,112,"1,769"
Hadley,-,1,"1,896",583,179,2,121,"2,781"
Halifax,-,1,926,843,52,1,98,"1,920"
Halifax,-,2,915,714,41,1,104,"1,775"
Hamilton,-,1,919,505,40,0,73,"1,537"
Hamilton,-,2,846,511,41,0,78,"1,476"
Hamilton,-,3,659,348,29,1,69,"1,106"
Hampden,-,1,"1,252","1,043",110,0,123,"2,528"
Hancock,-,1,195,134,17,0,12,358
Hanover,-,1,970,797,24,1,117,"1,909"
Hanover,-,2,"1,001",763,30,0,140,"1,934"
Hanover,-,3,"1,004",726,29,1,113,"1,873"
Hanover,-,4,962,771,23,2,125,"1,883"
Hanson,-,1,895,754,30,0,93,"1,772"
Hanson,-,2,920,761,38,1,104,"1,824"
Hanson,-,3,805,672,34,0,97,"1,608"
Hardwick,-,1,600,434,59,0,48,"1,141"
Harvard,-,1,"2,220",880,118,1,153,"3,372"
Harwich,-,1,"1,141",722,51,2,67,"1,983"
Harwich,-,2,"1,130",712,41,2,69,"1,954"
Harwich,-,3,"1,099",712,55,0,67,"1,933"
Harwich,-,4,"1,027",546,46,1,76,"1,696"
Hatfield,-,1,"1,246",398,119,0,66,"1,829"
Haverhill,1,1,440,141,36,0,24,641
Haverhill,1,2,686,239,46,2,47,"1,020"
Haverhill,1,3,535,237,35,2,45,854
Haverhill,2,1,620,256,51,0,36,963
Haverhill,2,2,598,378,33,0,59,"1,068"
Haverhill,2,3,441,151,28,1,28,649
Haverhill,3,1,389,75,31,0,22,517
Haverhill,3,2,510,167,43,0,37,757
Haverhill,3,3,558,223,38,0,32,851
Haverhill,4,1,706,457,38,0,83,"1,284"
Haverhill,4,2,812,620,46,1,68,"1,547"
Haverhill,4,3,736,471,52,2,73,"1,334"
Haverhill,5,1,806,335,42,2,65,"1,250"
Haverhill,5,2,774,527,39,0,65,"1,405"
Haverhill,5,3,823,662,47,0,68,"1,600"
Haverhill,6,1,646,342,42,0,52,"1,082"
Haverhill,6,2,671,378,40,2,65,"1,156"
Haverhill,6,3,809,437,41,0,64,"1,351"
Haverhill,7,1,788,424,47,1,83,"1,343"
Haverhill,7,2,663,391,34,0,52,"1,140"
Haverhill,7,3,809,552,54,1,88,"1,504"
Hawley,-,1,109,44,11,0,8,172
Heath,-,1,224,117,13,0,17,371
Hingham,-,1,"1,183",598,36,0,90,"1,907"
Hingham,-,2,"1,338",651,38,1,119,"2,147"
Hingham,-,3,"1,260",660,36,3,131,"2,090"
Hingham,-,4,"1,212",647,30,1,117,"2,007"
Hingham,-,5,809,538,20,2,88,"1,457"
Hingham,-,5A,694,242,17,0,54,"1,007"
Hingham,-,6,"1,144",675,39,1,123,"1,982"
Hinsdale,-,1,568,250,50,0,54,922
Holbrook,-,1,697,313,33,0,56,"1,099"
Holbrook,-,2,690,390,40,0,85,"1,205"
Holbrook,-,3,673,352,29,1,74,"1,129"
Holbrook,-,4,679,312,32,1,58,"1,082"
Holden,-,1,"1,010",705,60,0,93,"1,868"
Holden,-,2,"1,119",686,51,0,106,"1,962"
Holden,-,3,"1,026",594,57,1,92,"1,770"
Holden,-,4,"1,197",741,44,0,124,"2,106"
Holden,-,5,"1,155",697,67,1,123,"2,043"
Holland,-,1,525,518,63,1,44,"1,151"
Holliston,-,1,"1,351",595,66,1,89,"2,102"
Holliston,-,2,"1,288",498,58,2,114,"1,960"
Holliston,-,3,"1,205",463,45,0,80,"1,793"
Holliston,-,4,"1,120",464,50,2,104,"1,740"
Holyoke,1,A,370,58,41,0,33,502
Holyoke,1,B,439,71,50,0,23,583
Holyoke,2,A,375,91,33,0,26,525
Holyoke,2,B,343,48,24,0,31,446
Holyoke,3,A,636,156,89,0,43,924
Holyoke,3,B,786,257,94,0,72,"1,209"
Holyoke,4,A,338,53,36,0,20,447
Holyoke,4,B,520,111,85,0,47,763
Holyoke,5,A,858,490,104,2,101,"1,555"
Holyoke,5,B,629,224,55,0,44,952
Holyoke,6,A,521,128,64,1,40,754
Holyoke,6,B,707,177,109,1,40,"1,034"
Holyoke,7,A,970,355,100,0,68,"1,493"
Holyoke,7,B,876,208,117,0,63,"1,264"
Hopedale,-,1,"1,685",956,79,3,162,"2,885"
Hopkinton,-,1,"1,430",648,32,0,108,"2,218"
Hopkinton,-,2,"1,223",598,42,0,89,"1,952"
Hopkinton,-,3,"1,167",621,51,0,101,"1,940"
Hopkinton,-,4,"1,170",583,55,0,93,"1,901"
Hubbardston,-,1,"1,085","1,016",87,0,103,"2,291"
Hudson,-,1,848,400,44,1,58,"1,351"
Hudson,-,2,675,291,55,0,26,"1,047"
Hudson,-,3,821,471,33,2,52,"1,379"
Hudson,-,4,870,484,42,2,67,"1,465"
Hudson,-,5,"1,118",493,41,1,56,"1,709"
Hudson,-,6,622,283,24,1,45,975
Hudson,-,7,682,248,39,0,47,"1,016"
Hull,-,1,"1,191",508,65,0,94,"1,858"
Hull,-,2,994,439,59,0,103,"1,595"
Hull,-,3,"1,281",587,48,2,111,"2,029"
Huntington,-,1,462,394,67,0,29,952
Ipswich,-,1,"1,232",485,64,0,112,"1,893"
Ipswich,-,2,"1,232",640,85,0,134,"2,091"
Ipswich,-,3,"1,028",671,38,0,131,"1,868"
Ipswich,-,4,"1,130",630,53,0,153,"1,966"
Kingston,-,1,858,543,47,0,82,"1,530"
Kingston,-,2,934,712,44,1,77,"1,768"
Kingston,-,3,918,685,37,0,104,"1,744"
Kingston,-,4,825,551,21,0,71,"1,468"
Lakeville,-,1,590,"1,075",22,2,38,"1,727"
Lakeville,-,2,573,"1,123",21,0,48,"1,765"
Lakeville,-,3,705,"1,171",24,1,53,"1,954"
Lancaster,-,1,847,615,59,0,87,"1,608"
Lancaster,-,2,950,666,61,0,99,"1,776"
Lanesborough,-,1,872,386,78,3,99,"1,438"
Lawrence,A,1,569,105,15,3,26,718
Lawrence,A,2,386,37,15,1,42,481
Lawrence,A,3,481,109,32,1,31,654
Lawrence,A,4,530,71,27,0,26,654
Lawrence,B,1,574,68,28,0,65,735
Lawrence,B,2,415,49,17,1,27,509
Lawrence,B,3,438,74,28,1,39,580
Lawrence,B,4,610,51,28,5,108,802
Lawrence,C,1,394,50,16,0,33,493
Lawrence,C,2,599,125,34,0,31,789
Lawrence,C,3,402,27,15,0,33,477
Lawrence,C,4,511,42,28,1,48,630
Lawrence,D,1,514,95,26,1,43,679
Lawrence,D,2,467,49,17,1,34,568
Lawrence,D,3,363,37,28,1,44,473
Lawrence,D,4,361,31,20,1,43,456
Lawrence,E,1,745,274,42,0,48,"1,109"
Lawrence,E,2,671,244,47,5,50,"1,017"
Lawrence,E,3,440,91,27,0,26,584
Lawrence,E,4,513,80,23,1,54,671
Lawrence,F,1,611,177,34,0,44,866
Lawrence,F,2,425,42,21,0,34,522
Lawrence,F,3,420,67,24,0,28,539
Lawrence,F,4,430,63,26,0,24,543
Lee,-,1,"1,737",564,112,0,170,"2,583"
Leicester,-,1,655,483,39,2,55,"1,234"
Leicester,-,2,663,426,33,1,43,"1,166"
Leicester,-,3,574,479,35,0,45,"1,133"
Leicester,-,4,625,434,45,0,60,"1,164"
Lenox,-,1,"2,026",403,112,0,196,"2,737"
Leominster,1,A,734,482,45,2,82,"1,345"
Leominster,1,B,724,412,40,0,65,"1,241"
Leominster,1,C,574,274,37,1,44,930
Leominster,2,A,428,170,23,0,25,646
Leominster,2,B,566,306,30,1,42,945
Leominster,2,C,308,175,16,0,20,519
Leominster,3,A,499,275,25,0,36,835
Leominster,3,B,715,448,37,2,67,"1,269"
Leominster,3,C,778,496,40,0,61,"1,375"
Leominster,4,A,746,485,37,1,83,"1,352"
Leominster,4,B,695,485,36,1,83,"1,300"
Leominster,4,C,497,287,28,0,38,850
Leominster,5,A,552,271,42,0,45,910
Leominster,5,B,705,406,30,0,86,"1,227"
Leominster,5,C,489,242,32,0,38,801
Leverett,-,1,919,111,85,0,33,"1,148"
Lexington,-,1,"1,172",283,45,0,101,"1,601"
Lexington,-,2,"1,543",287,58,0,121,"2,009"
Lexington,-,3,"1,204",208,27,0,58,"1,497"
Lexington,-,4,"1,423",307,53,0,135,"1,918"
Lexington,-,5,"1,359",392,39,0,104,"1,894"
Lexington,-,6,"1,344",315,22,0,105,"1,786"
Lexington,-,7,"1,342",366,45,0,92,"1,845"
Lexington,-,8,"1,276",341,33,1,112,"1,763"
Lexington,-,9,"1,288",342,44,0,107,"1,781"
Leyden,-,1,297,98,21,0,17,433
Lincoln,-,1,"1,690",332,80,1,101,"2,204"
Lincoln,-,2,970,265,50,1,66,"1,352"
Littleton,-,1,"1,188",553,67,0,90,"1,898"
Littleton,-,2,"1,099",531,50,0,71,"1,751"
Littleton,-,3,"1,056",434,55,0,78,"1,623"
Longmeadow,-,A,"1,026",490,52,1,120,"1,689"
Longmeadow,-,B,969,421,66,0,82,"1,538"
Longmeadow,-,C,998,563,69,1,104,"1,735"
Longmeadow,-,D,984,562,61,0,85,"1,692"
Longmeadow,-,E,954,443,33,1,86,"1,517"
Lowell,1,1,439,108,36,0,42,625
Lowell,1,2,"1,103",464,74,0,186,"1,827"
Lowell,1,3,970,348,68,0,129,"1,515"
Lowell,2,1,349,43,27,0,36,455
Lowell,2,2,466,63,37,0,74,640
Lowell,2,3,"1,004",161,61,0,69,"1,295"
Lowell,3,1,512,134,28,0,58,732
Lowell,3,2,383,96,29,0,69,577
Lowell,3,3,409,100,26,0,48,583
Lowell,4,1,548,179,40,0,100,867
Lowell,4,2,334,95,29,0,65,523
Lowell,4,3,359,104,31,0,61,555
Lowell,5,1,533,187,44,0,50,814
Lowell,5,2,402,113,29,0,40,584
Lowell,5,3,524,218,51,0,51,844
Lowell,6,1,649,277,45,0,71,"1,042"
Lowell,6,2,808,266,39,0,51,"1,164"
Lowell,6,3,601,236,43,0,77,957
Lowell,7,1,403,93,29,0,45,570
Lowell,7,2,460,85,37,0,56,638
Lowell,7,3,249,68,24,0,60,401
Lowell,8,1,489,138,48,0,65,740
Lowell,8,2,475,162,44,0,78,759
Lowell,8,3,859,304,58,0,133,"1,354"
Lowell,9,1,491,120,37,0,55,703
Lowell,9,2,685,237,51,0,50,"1,023"
Lowell,9,3,525,190,31,0,47,793
Lowell,10,1,506,157,38,0,60,761
Lowell,10,2,324,85,28,0,41,478
Lowell,10,3,252,75,28,0,31,386
Lowell,11,1,582,173,53,0,52,860
Lowell,11,2,590,271,63,0,62,986
Lowell,11,3,638,219,42,0,74,973
Ludlow,-,1,815,493,65,0,74,"1,447"
Ludlow,-,2,555,290,39,1,72,957
Ludlow,-,3,785,669,64,2,90,"1,610"
Ludlow,-,4,778,464,65,1,100,"1,408"
Ludlow,-,5,568,425,46,0,69,"1,108"
Ludlow,-,6,870,631,58,1,102,"1,662"
Lunenburg,-,A,785,524,43,0,67,"1,419"
Lunenburg,-,B,705,421,49,1,44,"1,220"
Lunenburg,-,C,723,578,46,2,66,"1,415"
Lunenburg,-,D,706,468,44,0,62,"1,280"
Lynn,1,1,871,512,42,1,143,"1,569"
Lynn,1,2,979,491,44,4,130,"1,648"
Lynn,1,3,869,345,41,3,71,"1,329"
Lynn,1,4,831,294,30,3,71,"1,229"
Lynn,2,1,970,438,49,0,103,"1,560"
Lynn,2,2,624,141,32,2,39,838
Lynn,2,3,466,73,22,0,22,583
Lynn,2,4,440,74,15,0,24,553
Lynn,3,1,726,233,29,0,62,"1,050"
Lynn,3,2,648,150,23,1,30,852
Lynn,3,3,668,187,41,4,34,934
Lynn,3,4,774,195,35,3,45,"1,052"
Lynn,4,1,289,31,22,0,12,354
Lynn,4,2,385,53,13,0,20,471
Lynn,4,3,533,107,23,2,21,686
Lynn,4,4,671,175,30,1,41,918
Lynn,5,1,666,174,24,1,70,935
Lynn,5,2,296,37,16,0,22,371
Lynn,5,3,379,64,13,1,27,484
Lynn,5,4,735,174,31,1,59,"1,000"
Lynn,6,1,483,103,29,0,29,644
Lynn,6,2,298,79,18,0,18,413
Lynn,6,3,478,113,9,0,30,630
Lynn,6,4,374,86,23,0,38,521
Lynn,7,1,921,294,38,1,85,"1,339"
Lynn,7,2,797,227,36,1,83,"1,144"
Lynn,7,3,519,165,23,0,35,742
Lynn,7,4,581,184,39,1,51,856
Lynnfield,-,1,810,705,31,0,86,"1,632"
Lynnfield,-,2,894,622,29,0,97,"1,642"
Lynnfield,-,3,750,576,29,0,84,"1,439"
Lynnfield,-,4,823,771,13,0,101,"1,708"
Malden,1,1,664,114,25,2,39,844
Malden,1,2,820,203,56,2,60,"1,141"
Malden,2,1,677,160,46,1,53,937
Malden,2,2,752,236,49,1,49,"1,087"
Malden,3,1,982,226,53,1,71,"1,333"
Malden,3,2,"1,082",299,69,2,69,"1,521"
Malden,4,1,684,142,35,2,48,911
Malden,4,2,584,117,35,1,43,780
Malden,5,1,811,169,42,1,45,"1,068"
Malden,5,2,"1,086",311,79,2,86,"1,564"
Malden,6,1,912,266,50,2,47,"1,277"
Malden,6,2,827,251,35,2,59,"1,174"
Malden,7,1,734,104,22,4,33,897
Malden,7,2,736,153,28,2,51,970
Malden,8,1,819,243,50,1,64,"1,177"
