City/Town,Ward,Pct,"William Francis Galvin","Anthony M. Amore","Juan G. Sanchez, Jr","All Others",Blanks,"Total Votes Cast"
Chelmsford,-,5,"1,217",494,46,2,98,"1,857"
Chelmsford,-,6,"1,378",516,42,0,76,"2,012"
Chelmsford,-,7,"1,373",628,44,2,68,"2,115"
Chelmsford,-,8,"1,323",488,32,0,69,"1,912"
Chelmsford,-,9,"1,341",553,55,1,82,"2,032"
Chelsea,1,1,282,43,30,0,19,374
Chelsea,1,2,163,20,22,0,9,214
Chelsea,1,3,225,32,26,0,20,303
Chelsea,1,4,250,13,13,0,15,291
Chelsea,2,1,706,152,48,0,47,953
Chelsea,2,2,398,52,43,0,35,528
Chelsea,2,3,155,25,13,0,12,205
Chelsea,2,4,263,30,15,0,32,340
Chelsea,3,1,248,35,23,0,20,326
Chelsea,3,2,388,46,28,0,23,485
Chelsea,3,3,295,45,25,0,22,387
Chelsea,3,4,323,48,31,0,24,426
Chelsea,4,1,327,65,26,0,21,439
Chelsea,4,2,372,102,31,0,38,543
Chelsea,4,3,361,103,40,0,32,536
Chelsea,4,4,280,53,22,0,22,377
Cheshire,-,1,954,447,49,1,61,"1,512"
Chester,-,1,284,252,22,0,17,575
Chesterfield,-,1,434,173,32,0,18,657
Chicopee,1,A,693,304,66,1,31,"1,095"
Chicopee,1,B,931,383,52,1,39,"1,406"
Chicopee,2,A,498,160,41,1,17,717
Chicopee,2,B,740,334,65,0,32,"1,171"
Chicopee,3,A,578,266,44,1,28,917
Chicopee,3,B,457,204,74,0,19,754
Chicopee,4,A,626,244,44,1,24,939
Chicopee,4,B,591,232,55,2,38,918
Chicopee,5,A,688,257,53,3,24,"1,025"
Chicopee,5,B,655,260,55,2,16,988
Chicopee,6,AN,202,86,4,0,9,301
Chicopee,6,AS,429,203,22,0,15,669
Chicopee,6,BE,645,449,32,2,34,"1,162"
Chicopee,6,BW,141,89,7,0,6,243
Chicopee,7,A,451,176,67,1,23,718
Chicopee,7,B,526,201,65,2,26,820
Chicopee,8,A,717,319,65,6,31,"1,138"
Chicopee,8,B,612,296,51,1,26,986
Chicopee,9,A,667,305,53,1,30,"1,056"
Chicopee,9,B,893,423,67,2,37,"1,422"
Chilmark,-,1,599,81,38,0,15,733
Clarksburg,-,1,479,185,25,0,26,715
Clinton,-,1,"1,036",400,48,0,47,"1,531"
Clinton,-,2,914,372,44,1,32,"1,363"
Clinton,-,3,889,411,62,2,29,"1,393"
Clinton,-,4,879,357,47,2,29,"1,314"
Cohasset,-,1,"1,344",654,49,0,70,"2,117"
Cohasset,-,2,"1,554",660,50,1,84,"2,349"
Colrain,-,1,505,165,62,0,20,752
Concord,-,1,"1,492",347,68,0,53,"1,960"
Concord,-,2,"1,869",398,102,2,47,"2,418"
Concord,-,3,"1,641",369,84,0,50,"2,144"
Concord,-,4,"1,699",378,94,1,69,"2,241"
Concord,-,5,"1,065",287,42,0,34,"1,428"
Conway,-,1,833,173,83,0,27,"1,116"
Cummington,-,1,348,86,42,0,9,485
Dalton,-,1,"1,005",338,57,1,76,"1,477"
Dalton,-,2,"1,042",301,52,1,63,"1,459"
Danvers,-,1,"1,038",490,38,2,64,"1,632"
Danvers,-,2,"1,032",505,34,4,53,"1,628"
Danvers,-,3,818,467,32,0,39,"1,356"
Danvers,-,4,"1,047",471,37,0,77,"1,632"
Danvers,-,5,984,553,36,0,79,"1,652"
Danvers,-,6,"1,053",588,23,1,73,"1,738"
Danvers,-,7,"1,007",509,48,1,72,"1,637"
Danvers,-,8,845,509,33,1,41,"1,429"
Dartmouth,-,1,841,687,29,1,54,"1,612"
Dartmouth,-,2,611,341,29,0,42,"1,023"
Dartmouth,-,3,138,15,7,0,8,168
Dartmouth,-,4,934,454,39,0,59,"1,486"
Dartmouth,-,5,"1,050",523,49,0,70,"1,692"
Dartmouth,-,6,762,370,30,0,43,"1,205"
Dartmouth,-,7,957,531,40,0,82,"1,610"
Dartmouth,-,8,"1,327",567,68,1,79,"2,042"
Dartmouth,-,9,"1,337",662,49,0,80,"2,128"
Dedham,-,1,"1,276",360,53,0,96,"1,785"
Dedham,-,2,"1,287",390,66,0,65,"1,808"
Dedham,-,3,"1,112",287,65,1,53,"1,518"
Dedham,-,4,"1,224",370,57,0,93,"1,744"
Dedham,-,5,"1,320",422,46,1,67,"1,856"
Dedham,-,6,"1,371",381,72,2,68,"1,894"
Dedham,-,7,"1,286",430,29,1,88,"1,834"
Deerfield,-,1,"1,984",488,121,1,59,"2,653"
Dennis,-,1,"1,193",598,26,0,36,"1,853"
Dennis,-,2,"1,202",549,39,0,65,"1,855"
Dennis,-,3,958,389,42,0,42,"1,431"
Dennis,-,4,"1,067",517,47,1,43,"1,675"
Dennis,-,5,"1,071",414,31,0,45,"1,561"
Dighton,-,1,840,592,33,0,62,"1,527"
Dighton,-,2,962,672,50,1,58,"1,743"
Douglas,-,1,660,652,41,0,43,"1,396"
Douglas,-,2,733,561,31,0,48,"1,373"
Douglas,-,3,596,550,32,0,24,"1,202"
Dover,-,1,"1,951",966,90,3,123,"3,133"
Dracut,-,1,789,428,19,0,28,"1,264"
Dracut,-,2,740,351,27,0,32,"1,150"
Dracut,-,3,899,488,42,0,38,"1,467"
Dracut,-,4,965,684,44,0,69,"1,762"
Dracut,-,5,870,500,35,0,45,"1,450"
Dracut,-,6,824,449,31,0,42,"1,346"
Dracut,-,6A,36,22,1,0,3,62
Dracut,-,7,796,427,37,0,36,"1,296"
Dracut,-,8,"1,166",732,25,0,64,"1,987"
Dracut,-,9,907,495,34,0,56,"1,492"
Dudley,-,1,964,644,50,0,41,"1,699"
Dudley,-,2,686,586,48,0,42,"1,362"
Dudley,-,3,651,532,32,1,37,"1,253"
Dunstable,-,1,"1,087",559,46,0,45,"1,737"
Duxbury,-,1,983,536,27,2,49,"1,597"
Duxbury,-,2,867,541,28,0,56,"1,492"
Duxbury,-,3,880,437,26,1,36,"1,380"
Duxbury,-,4,879,423,36,0,42,"1,380"
Duxbury,-,5,933,430,31,0,37,"1,431"
Duxbury,-,6,775,415,22,0,51,"1,263"
"E. Bridgewater",-,1,926,569,38,0,71,"1,604"
"E. Bridgewater",-,2,921,561,36,0,69,"1,587"
"E. Bridgewater",-,3,"1,072",602,38,0,91,"1,803"
"E. Bridgewater",-,4,890,531,47,0,49,"1,517"
"E. Brookfield",-,1,553,423,27,0,30,"1,033"
"E. Longmeadow",-,1,"1,120",639,59,2,69,"1,889"
"E. Longmeadow",-,2,"1,049",580,49,1,85,"1,764"
"E. Longmeadow",-,3,"1,084",697,47,1,81,"1,910"
"E. Longmeadow",-,4,"1,069",810,46,0,89,"2,014"
Eastham,-,1,"2,304",836,101,2,64,"3,307"
Easthampton,-,1,"1,135",282,97,4,56,"1,574"
Easthampton,-,2,"1,285",217,197,0,52,"1,751"
Easthampton,-,3,"1,143",255,146,0,43,"1,587"
Easthampton,-,4,"1,440",265,150,1,35,"1,891"
Easthampton,-,5,"1,194",464,81,0,65,"1,804"
Easton,-,1,602,336,25,0,46,"1,009"
Easton,-,2,"1,328",577,52,0,64,"2,021"
Easton,-,3,"1,053",485,38,0,54,"1,630"
Easton,-,4,"1,249",587,39,1,83,"1,959"
Easton,-,5,"1,431",588,40,0,89,"2,148"
Easton,-,6,"1,153",612,47,0,70,"1,882"
Edgartown,-,1,"1,722",528,78,0,86,"2,414"
Egremont,-,1,617,108,43,0,25,793
Erving,-,1,441,166,28,0,16,651
Essex,-,1,"1,328",577,73,0,64,"2,042"
Everett,1,1,558,136,35,2,45,776
Everett,1,2,437,125,31,0,42,635
Everett,2,1,637,154,25,1,27,844
Everett,2,2,525,123,34,0,46,728
Everett,3,1,750,176,33,0,47,"1,006"
Everett,3,2,672,153,33,1,32,891
Everett,4,1,752,198,37,2,38,"1,027"
Everett,4,2,629,130,36,2,37,834
Everett,5,1,672,142,23,0,32,869
Everett,5,2,656,135,37,1,38,867
Everett,6,1,692,183,40,2,35,952
Everett,6,2,738,137,23,0,36,934
Fairhaven,-,1,806,373,59,1,51,"1,290"
Fairhaven,-,2,759,351,26,1,43,"1,180"
Fairhaven,-,3,556,311,15,2,45,929
Fairhaven,-,4,730,352,31,1,51,"1,165"
Fairhaven,-,5,765,460,33,1,60,"1,319"
Fairhaven,-,6,690,451,31,0,62,"1,234"
"Fall River",1,A,643,338,34,0,70,"1,085"
"Fall River",1,B,435,215,25,1,53,729
"Fall River",1,C,445,241,14,0,62,762
"Fall River",2,A,346,121,24,0,35,526
"Fall River",2,B,320,124,20,1,25,490
"Fall River",2,C,370,163,17,0,54,604
"Fall River",3,A,545,206,21,0,46,818
"Fall River",3,B,448,200,24,1,45,718
"Fall River",3,C,493,230,36,0,42,801
"Fall River",4,A,352,136,22,0,32,542
"Fall River",4,B,308,97,17,0,32,454
"Fall River",4,C,392,79,22,0,51,544
"Fall River",5,A,227,85,14,0,25,351
"Fall River",5,B,203,60,12,0,22,297
"Fall River",5,B1,41,15,4,0,8,68
"Fall River",5,C,300,123,15,0,37,475
"Fall River",6,A,537,281,28,0,77,923
"Fall River",6,B,397,142,28,0,50,617
"Fall River",6,C,493,192,22,0,40,747
"Fall River",6,C1,8,4,0,0,0,12
"Fall River",7,A,555,213,31,1,51,851
"Fall River",7,B,375,146,34,0,19,574
"Fall River",7,C,463,186,28,0,57,734
"Fall River",8,A,451,165,35,0,50,701
"Fall River",8,B,755,294,39,0,60,"1,148"
"Fall River",8,C,795,337,34,2,91,"1,259"
"Fall River",9,A,955,425,41,2,91,"1,514"
"Fall River",9,B,614,273,27,1,79,994
"Fall River",9,C,637,252,40,0,81,"1,010"
Falmouth,-,1,"1,724",372,76,1,55,"2,228"
Falmouth,-,2,"1,346",465,52,0,50,"1,913"
Falmouth,-,3,"1,221",525,34,0,43,"1,823"
Falmouth,-,4,"1,267",575,49,0,42,"1,933"
Falmouth,-,5,"1,495",616,68,1,64,"2,244"
Falmouth,-,6,"1,357",572,57,0,51,"2,037"
Falmouth,-,7,"1,135",604,57,1,50,"1,847"
Falmouth,-,8,"1,211",585,61,1,43,"1,901"
Falmouth,-,9,"1,132",507,44,1,36,"1,720"
Fitchburg,1,A,486,200,46,0,23,755
Fitchburg,1,B,661,247,46,1,31,986
Fitchburg,2,A,469,153,36,0,16,674
Fitchburg,2,B,705,339,46,0,39,"1,129"
Fitchburg,3,A,"1,002",476,47,0,53,"1,578"
Fitchburg,3,B,701,359,69,1,39,"1,169"
Fitchburg,4,A,313,142,24,1,28,508
Fitchburg,4,B,495,183,37,0,29,744
Fitchburg,5,A,877,479,50,1,64,"1,471"
Fitchburg,5,B,417,114,33,0,18,582
Fitchburg,6,A,825,377,37,0,44,"1,283"
Fitchburg,6,B,546,193,41,0,22,802
Florida,-,1,188,116,8,0,13,325
Foxborough,-,1,"1,048",407,29,1,65,"1,550"
Foxborough,-,2,"1,237",473,34,0,72,"1,816"
Foxborough,-,3,"1,124",573,43,0,75,"1,815"
Foxborough,-,4,"1,127",526,38,1,63,"1,755"
Foxborough,-,5,"1,054",518,42,0,51,"1,665"
Framingham,-,1,"1,441",405,49,0,68,"1,963"
Framingham,-,2,"1,754",442,59,1,78,"2,334"
Framingham,-,3,"1,298",249,52,1,49,"1,649"
Framingham,-,4,"1,489",398,52,0,76,"2,015"
Framingham,-,5,"1,335",406,53,1,52,"1,847"
Framingham,-,6,"1,400",357,47,3,65,"1,872"
Framingham,-,7,"1,284",301,46,2,52,"1,685"
Framingham,-,8,"1,266",305,54,2,35,"1,662"
Framingham,-,9,912,210,33,1,27,"1,183"
Framingham,-,10,666,137,31,1,26,861
Framingham,-,11,"1,500",420,58,1,58,"2,037"
Framingham,-,12,699,177,26,1,17,920
Framingham,-,13,873,194,55,1,28,"1,151"
Framingham,-,14,562,111,32,1,13,719
Framingham,-,15,702,127,29,1,21,880
Framingham,-,16,330,71,17,0,2,420
Framingham,-,17,363,36,20,0,7,426
Framingham,-,18,591,133,30,0,12,766
Franklin,-,1,"1,155",504,33,1,87,"1,780"
Franklin,-,2,"1,194",532,47,1,59,"1,833"
Franklin,-,3,"1,185",530,42,0,53,"1,810"
Franklin,-,4,"1,276",701,36,1,65,"2,079"
Franklin,-,5,"1,373",557,49,2,63,"2,044"
Franklin,-,6,"1,108",452,40,2,54,"1,656"
Franklin,-,7,"1,313",573,40,0,71,"1,997"
Franklin,-,8,"1,229",603,45,0,91,"1,968"
Freetown,-,1,664,534,29,1,46,"1,274"
Freetown,-,2,732,529,35,1,66,"1,363"
Freetown,-,3,681,538,33,0,64,"1,316"
Gardner,1,A,567,287,20,0,28,902
Gardner,1,B,221,111,9,0,11,352
Gardner,2,A,439,253,37,0,29,758
Gardner,2,B,532,301,27,1,33,894
Gardner,3,A,397,177,26,0,15,615
Gardner,3,B,549,230,28,0,20,827
Gardner,4,A,460,192,32,0,29,713
Gardner,4,B,273,117,24,0,15,429
Gardner,5,A,383,177,15,0,19,594
Gardner,5,B,525,309,37,0,21,892
Georgetown,-,1,875,584,40,0,49,"1,548"
Georgetown,-,2,827,473,30,1,41,"1,372"
Georgetown,-,3,804,426,23,0,38,"1,291"
Gill,-,1,550,163,56,0,28,797
Gloucester,1,1,"1,127",385,65,0,82,"1,659"
Gloucester,1,2,899,319,45,3,41,"1,307"
Gloucester,2,1,658,215,42,1,43,959
Gloucester,2,2,698,199,43,1,48,989
Gloucester,3,1,756,289,43,0,48,"1,136"
Gloucester,3,2,832,320,49,0,43,"1,244"
Gloucester,4,1,944,388,40,0,57,"1,429"
Gloucester,4,2,"1,287",367,89,0,64,"1,807"
Gloucester,5,1,"1,115",461,66,0,79,"1,721"
Gloucester,5,2,"1,049",477,65,1,59,"1,651"
Goshen,-,1,394,119,26,0,10,549
Gosnold,-,1,31,19,4,0,3,57
Grafton,-,1,"1,067",507,54,0,37,"1,665"
Grafton,-,2,"1,115",533,48,0,48,"1,744"
Grafton,-,3,"1,114",530,41,0,59,"1,744"
Grafton,-,4,909,437,48,0,38,"1,432"
Grafton,-,5,"1,266",506,52,0,67,"1,891"
Granby,-,1,"1,003",499,80,0,76,"1,658"
Granby,-,2,797,506,62,0,66,"1,431"
Granville,-,1,360,384,22,0,20,786
"Great Barrington",-,A,691,106,36,0,34,867
"Great Barrington",-,B,644,138,63,0,24,869
"Great Barrington",-,C,520,60,34,0,11,625
"Great Barrington",-,D,672,127,41,1,35,876
Greenfield,-,1,547,183,47,0,32,809
Greenfield,-,2,753,219,43,0,43,"1,058"
Greenfield,-,3,615,165,66,0,28,874
Greenfield,-,4,704,171,53,0,26,954
Greenfield,-,5,650,120,97,0,25,892
Greenfield,-,6,648,107,104,0,23,882
Greenfield,-,7,438,162,51,0,20,671
Greenfield,-,8,468,92,84,0,19,663
Greenfield,-,9,432,132,34,0,15,613
Groton,-,1,"1,402",510,52,2,52,"2,018"
Groton,-,2,"1,245",535,64,1,64,"1,909"
Groton,-,3,"1,284",486,69,1,70,"1,910"
Groveland,-,1,"1,002",621,36,1,63,"1,723"
Groveland,-,2,992,672,35,0,70,"1,769"
Hadley,-,1,"1,986",535,162,1,97,"2,781"
Halifax,-,1,"1,085",717,45,0,73,"1,920"
Halifax,-,2,"1,033",609,56,0,77,"1,775"
Hamilton,-,1,964,480,50,0,43,"1,537"
Hamilton,-,2,919,467,33,0,57,"1,476"
Hamilton,-,3,697,326,32,1,50,"1,106"
Hampden,-,1,"1,390",986,89,0,63,"2,528"
Hancock,-,1,206,129,11,0,12,358
Hanover,-,1,"1,120",684,28,1,76,"1,909"
Hanover,-,2,"1,150",655,41,2,86,"1,934"
Hanover,-,3,"1,153",614,26,2,78,"1,873"
Hanover,-,4,"1,102",667,33,0,81,"1,883"
Hanson,-,1,"1,048",631,31,0,62,"1,772"
Hanson,-,2,"1,090",622,36,3,73,"1,824"
Hanson,-,3,933,568,37,0,70,"1,608"
Hardwick,-,1,651,417,43,1,29,"1,141"
Harvard,-,1,"2,382",782,115,1,92,"3,372"
Harwich,-,1,"1,274",607,53,0,49,"1,983"
Harwich,-,2,"1,264",595,44,2,49,"1,954"
Harwich,-,3,"1,209",628,54,0,42,"1,933"
Harwich,-,4,"1,138",460,46,1,51,"1,696"
Hatfield,-,1,"1,349",345,96,0,39,"1,829"
Haverhill,1,1,444,148,31,0,18,641
Haverhill,1,2,705,230,46,1,38,"1,020"
Haverhill,1,3,575,223,30,1,25,854
Haverhill,2,1,642,247,48,0,26,963
Haverhill,2,2,632,368,30,1,37,"1,068"
Haverhill,2,3,448,146,29,1,25,649
Haverhill,3,1,395,76,30,0,16,517
Haverhill,3,2,529,174,36,0,18,757
Haverhill,3,3,559,222,41,1,28,851
Haverhill,4,1,762,436,29,0,57,"1,284"
Haverhill,4,2,896,570,38,0,43,"1,547"
Haverhill,4,3,801,455,37,2,39,"1,334"
Haverhill,5,1,832,336,38,1,43,"1,250"
Haverhill,5,2,819,516,26,0,44,"1,405"
Haverhill,5,3,909,624,30,0,37,"1,600"
Haverhill,6,1,679,342,25,0,36,"1,082"
Haverhill,6,2,709,368,38,1,40,"1,156"
Haverhill,6,3,877,402,30,0,42,"1,351"
Haverhill,7,1,851,400,37,1,54,"1,343"
Haverhill,7,2,720,367,24,1,28,"1,140"
Haverhill,7,3,869,535,42,0,58,"1,504"
Hawley,-,1,122,42,4,0,4,172
Heath,-,1,224,111,19,0,17,371
Hingham,-,1,"1,275",530,49,0,53,"1,907"
Hingham,-,2,"1,451",578,46,1,71,"2,147"
Hingham,-,3,"1,389",577,36,2,86,"2,090"
Hingham,-,4,"1,311",575,42,1,78,"2,007"
Hingham,-,5,898,479,29,1,50,"1,457"
Hingham,-,5A,764,200,14,0,29,"1,007"
Hingham,-,6,"1,284",586,43,2,67,"1,982"
Hinsdale,-,1,592,248,40,0,42,922
Holbrook,-,1,788,251,27,0,33,"1,099"
Holbrook,-,2,757,355,42,0,51,"1,205"
Holbrook,-,3,775,298,18,1,37,"1,129"
Holbrook,-,4,739,262,38,1,42,"1,082"
Holden,-,1,"1,093",670,43,0,62,"1,868"
Holden,-,2,"1,209",630,54,0,69,"1,962"
Holden,-,3,"1,134",528,48,1,59,"1,770"
Holden,-,4,"1,295",681,48,0,82,"2,106"
Holden,-,5,"1,265",641,61,1,75,"2,043"
Holland,-,1,567,513,35,1,35,"1,151"
Holliston,-,1,"1,444",530,60,3,65,"2,102"
Holliston,-,2,"1,409",424,57,1,69,"1,960"
Holliston,-,3,"1,276",400,59,2,56,"1,793"
Holliston,-,4,"1,216",403,50,2,69,"1,740"
Holyoke,1,A,351,54,77,1,19,502
Holyoke,1,B,407,63,93,0,20,583
Holyoke,2,A,368,72,65,0,20,525
Holyoke,2,B,313,46,68,0,19,446
Holyoke,3,A,622,141,126,0,35,924
Holyoke,3,B,822,252,94,0,41,"1,209"
Holyoke,4,A,311,50,72,0,14,447
Holyoke,4,B,499,94,141,0,29,763
Holyoke,5,A,962,449,92,0,52,"1,555"
Holyoke,5,B,649,204,72,0,27,952
Holyoke,6,A,538,107,84,0,25,754
Holyoke,6,B,703,167,137,0,27,"1,034"
Holyoke,7,A,"1,031",312,105,0,45,"1,493"
Holyoke,7,B,917,197,110,0,40,"1,264"
Hopedale,-,1,"1,864",835,67,2,117,"2,885"
Hopkinton,-,1,"1,523",568,51,1,75,"2,218"
Hopkinton,-,2,"1,302",537,53,0,60,"1,952"
Hopkinton,-,3,"1,288",538,47,0,67,"1,940"
Hopkinton,-,4,"1,285",491,58,0,67,"1,901"
Hubbardston,-,1,"1,198",953,73,0,67,"2,291"
Hudson,-,1,934,351,31,0,35,"1,351"
Hudson,-,2,727,263,38,0,19,"1,047"
Hudson,-,3,924,391,33,1,30,"1,379"
Hudson,-,4,949,426,37,2,51,"1,465"
Hudson,-,5,"1,202",426,44,1,36,"1,709"
Hudson,-,6,674,238,33,0,30,975
Hudson,-,7,738,211,32,0,35,"1,016"
Hull,-,1,"1,308",435,47,0,68,"1,858"
Hull,-,2,"1,078",383,61,2,71,"1,595"
Hull,-,3,"1,415",473,66,0,75,"2,029"
Huntington,-,1,520,365,48,0,19,952
Ipswich,-,1,"1,294",428,94,0,77,"1,893"
Ipswich,-,2,"1,336",570,93,0,92,"2,091"
Ipswich,-,3,"1,134",601,38,0,95,"1,868"
Ipswich,-,4,"1,256",558,46,0,106,"1,966"
Kingston,-,1,991,452,33,0,54,"1,530"
Kingston,-,2,"1,063",609,42,0,54,"1,768"
Kingston,-,3,"1,068",582,40,1,53,"1,744"
Kingston,-,4,935,449,36,0,48,"1,468"
Lakeville,-,1,911,709,43,1,63,"1,727"
Lakeville,-,2,886,762,49,0,68,"1,765"
Lakeville,-,3,"1,101",753,40,1,59,"1,954"
Lancaster,-,1,919,578,55,0,56,"1,608"
Lancaster,-,2,"1,074",598,44,0,60,"1,776"
Lanesborough,-,1,909,392,54,2,81,"1,438"
Lawrence,A,1,549,99,55,1,14,718
Lawrence,A,2,379,38,36,0,28,481
Lawrence,A,3,486,99,45,1,23,654
Lawrence,A,4,521,69,47,0,17,654
Lawrence,B,1,576,67,52,0,40,735
Lawrence,B,2,421,38,34,1,15,509
Lawrence,B,3,450,61,37,1,31,580
Lawrence,B,4,629,43,59,2,69,802
Lawrence,C,1,396,45,35,0,17,493
Lawrence,C,2,599,112,58,1,19,789
Lawrence,C,3,393,26,39,1,18,477
Lawrence,C,4,490,45,55,1,39,630
Lawrence,D,1,509,93,49,1,27,679
Lawrence,D,2,465,42,34,0,27,568
Lawrence,D,3,362,39,39,4,29,473
Lawrence,D,4,361,34,35,0,26,456
Lawrence,E,1,756,260,53,0,40,"1,109"
Lawrence,E,2,690,231,66,2,28,"1,017"
Lawrence,E,3,445,90,26,0,23,584
Lawrence,E,4,499,84,52,1,35,671
Lawrence,F,1,604,171,58,0,33,866
Lawrence,F,2,422,36,41,0,23,522
Lawrence,F,3,410,61,52,0,16,539
Lawrence,F,4,418,69,39,0,17,543
Lee,-,1,"1,825",542,106,1,109,"2,583"
Leicester,-,1,709,455,27,0,43,"1,234"
Leicester,-,2,703,397,36,1,29,"1,166"
Leicester,-,3,625,445,28,0,35,"1,133"
Leicester,-,4,683,404,32,0,45,"1,164"
Lenox,-,1,"2,094",380,113,0,150,"2,737"
Leominster,1,A,796,464,30,1,54,"1,345"
Leominster,1,B,794,384,30,0,33,"1,241"
Leominster,1,C,610,262,30,0,28,930
Leominster,2,A,440,154,32,0,20,646
Leominster,2,B,601,284,36,1,23,945
Leominster,2,C,329,156,21,0,13,519
Leominster,3,A,525,264,23,0,23,835
Leominster,3,B,768,428,29,1,43,"1,269"
Leominster,3,C,836,450,43,0,46,"1,375"
Leominster,4,A,823,428,44,0,57,"1,352"
Leominster,4,B,758,450,46,0,46,"1,300"
Leominster,4,C,511,285,32,0,22,850
Leominster,5,A,591,258,34,0,27,910
Leominster,5,B,774,358,32,0,63,"1,227"
Leominster,5,C,515,226,37,0,23,801
Leverett,-,1,920,103,102,0,23,"1,148"
Lexington,-,1,"1,201",252,73,0,75,"1,601"
Lexington,-,2,"1,616",237,64,1,91,"2,009"
Lexington,-,3,"1,211",200,40,0,46,"1,497"
Lexington,-,4,"1,461",270,80,2,105,"1,918"
Lexington,-,5,"1,425",351,43,0,75,"1,894"
Lexington,-,6,"1,394",279,44,1,68,"1,786"
Lexington,-,7,"1,368",343,65,0,69,"1,845"
Lexington,-,8,"1,359",285,42,1,76,"1,763"
Lexington,-,9,"1,319",325,62,0,75,"1,781"
Leyden,-,1,308,93,22,0,10,433
Lincoln,-,1,"1,715",308,110,0,71,"2,204"
Lincoln,-,2,"1,015",228,61,1,47,"1,352"
Littleton,-,1,"1,305",476,55,0,62,"1,898"
Littleton,-,2,"1,179",472,54,0,46,"1,751"
Littleton,-,3,"1,136",382,56,0,49,"1,623"
Longmeadow,-,A,"1,109",452,54,0,74,"1,689"
Longmeadow,-,B,"1,053",368,53,0,64,"1,538"
Longmeadow,-,C,"1,065",530,54,1,85,"1,735"
Longmeadow,-,D,"1,061",524,38,0,69,"1,692"
Longmeadow,-,E,986,427,28,0,76,"1,517"
Lowell,1,1,461,104,36,0,24,625
Lowell,1,2,"1,259",416,65,0,87,"1,827"
Lowell,1,3,"1,063",318,43,0,91,"1,515"
Lowell,2,1,349,43,35,0,28,455
Lowell,2,2,450,67,68,0,55,640
Lowell,2,3,"1,003",139,99,0,54,"1,295"
Lowell,3,1,551,114,27,0,40,732
Lowell,3,2,387,98,36,0,56,577
Lowell,3,3,423,92,29,0,39,583
Lowell,4,1,592,170,30,0,75,867
Lowell,4,2,335,104,30,0,54,523
Lowell,4,3,367,87,55,0,46,555
Lowell,5,1,582,167,39,0,26,814
Lowell,5,2,411,108,39,0,26,584
Lowell,5,3,583,187,42,0,32,844
Lowell,6,1,718,242,42,0,40,"1,042"
Lowell,6,2,810,264,40,0,50,"1,164"
Lowell,6,3,683,200,30,0,44,957
Lowell,7,1,415,87,33,0,35,570
Lowell,7,2,460,84,56,0,38,638
Lowell,7,3,264,70,21,0,46,401
Lowell,8,1,539,115,36,0,50,740
Lowell,8,2,535,148,24,0,52,759
Lowell,8,3,999,245,38,0,72,"1,354"
Lowell,9,1,504,123,34,0,42,703
Lowell,9,2,706,230,52,0,35,"1,023"
Lowell,9,3,556,160,45,0,32,793
Lowell,10,1,539,143,36,0,43,761
Lowell,10,2,341,80,28,0,29,478
Lowell,10,3,260,68,46,0,12,386
Lowell,11,1,597,175,54,0,34,860
Lowell,11,2,658,240,46,0,42,986
Lowell,11,3,682,200,47,0,44,973
Ludlow,-,1,857,488,44,0,58,"1,447"
Ludlow,-,2,580,281,39,3,54,957
Ludlow,-,3,889,616,41,2,62,"1,610"
Ludlow,-,4,848,440,46,0,74,"1,408"
Ludlow,-,5,616,404,41,1,46,"1,108"
Ludlow,-,6,965,586,45,0,66,"1,662"
Lunenburg,-,A,857,468,55,0,39,"1,419"
Lunenburg,-,B,768,389,33,1,29,"1,220"
Lunenburg,-,C,810,513,40,2,50,"1,415"
Lunenburg,-,D,775,428,36,1,40,"1,280"
Lynn,1,1,969,486,36,1,77,"1,569"
Lynn,1,2,"1,039",487,45,1,76,"1,648"
Lynn,1,3,910,347,33,2,37,"1,329"
Lynn,1,4,842,300,40,2,45,"1,229"
Lynn,2,1,"1,057",406,42,0,55,"1,560"
Lynn,2,2,644,132,37,1,24,838
Lynn,2,3,469,65,34,0,15,583
Lynn,2,4,440,80,18,0,15,553
Lynn,3,1,726,238,43,1,42,"1,050"
Lynn,3,2,630,163,35,2,22,852
Lynn,3,3,672,182,52,4,24,934
Lynn,3,4,778,190,52,4,28,"1,052"
Lynn,4,1,276,38,33,0,7,354
Lynn,4,2,384,50,22,0,15,471
Lynn,4,3,534,105,24,1,22,686
Lynn,4,4,675,177,41,1,24,918
Lynn,5,1,674,185,31,1,44,935
Lynn,5,2,294,32,28,0,17,371
Lynn,5,3,384,59,20,1,20,484
Lynn,5,4,749,167,42,1,41,"1,000"
Lynn,6,1,494,95,34,1,20,644
Lynn,6,2,301,74,21,0,17,413
Lynn,6,3,476,110,23,0,21,630
Lynn,6,4,375,87,26,1,32,521
Lynn,7,1,957,301,39,0,42,"1,339"
Lynn,7,2,850,204,36,2,52,"1,144"
Lynn,7,3,551,149,24,0,18,742
Lynn,7,4,596,180,38,1,41,856
Lynnfield,-,1,906,649,29,0,48,"1,632"
Lynnfield,-,2,992,576,28,0,46,"1,642"
Lynnfield,-,3,810,560,18,0,51,"1,439"
Lynnfield,-,4,915,700,23,0,70,"1,708"
Malden,1,1,681,108,27,1,27,844
Malden,1,2,834,200,65,2,40,"1,141"
Malden,2,1,720,135,46,0,36,937
Malden,2,2,780,211,53,1,42,"1,087"
Malden,3,1,"1,016",203,68,1,45,"1,333"
Malden,3,2,"1,131",268,82,1,39,"1,521"
