City/Town,Ward,Pct,"Maria C. Curtatone","William Tauro","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
Reading,-,2,996,621,0,331,"1,948"
Reading,-,3,"1,086",675,0,364,"2,125"
Reading,-,4,"1,079",556,0,374,"2,009"
Reading,-,5,"1,088",573,0,352,"2,013"
Reading,-,6,"1,158",655,0,358,"2,171"
Reading,-,7,"1,097",616,0,400,"2,113"
Reading,-,8,974,632,0,408,"2,014"
Sherborn,-,1,"1,807",634,5,360,"2,806"
Shirley,-,1,"1,960","1,265",17,462,"3,704"
Somerville,1,1,890,258,4,116,"1,268"
Somerville,1,2,722,223,1,86,"1,032"
Somerville,1,3,931,244,5,110,"1,290"
Somerville,1,4,523,151,1,45,720
Somerville,1,4A,263,76,3,36,378
Somerville,2,1,735,107,4,87,933
Somerville,2,1A,458,56,0,49,563
Somerville,2,2,"1,165",171,7,106,"1,449"
Somerville,2,3,"1,190",140,1,128,"1,459"
Somerville,2,4,"1,251",148,4,125,"1,528"
Somerville,3,1,"1,255",204,6,113,"1,578"
Somerville,3,2,"1,094",240,10,126,"1,470"
Somerville,3,3,"1,284",201,11,119,"1,615"
Somerville,3,4,"1,285",157,3,118,"1,563"
Somerville,4,1,793,304,7,120,"1,224"
Somerville,4,2,697,124,4,72,897
Somerville,4,2A,271,62,1,26,360
Somerville,4,3,"1,142",240,5,114,"1,501"
Somerville,4,4,694,203,10,94,"1,001"
Somerville,5,1,"1,196",261,12,114,"1,583"
Somerville,5,2,"1,297",192,16,112,"1,617"
Somerville,5,3,"1,302",175,1,121,"1,599"
Somerville,5,4,"1,430",174,8,120,"1,732"
Somerville,6,1,"1,510",146,1,140,"1,797"
Somerville,6,2,"1,527",191,2,152,"1,872"
Somerville,6,3,217,38,0,22,277
Somerville,6,3A,199,44,0,21,264
Somerville,6,4,"1,421",186,9,135,"1,751"
Somerville,7,1,"1,465",181,4,114,"1,764"
Somerville,7,2,956,215,8,121,"1,300"
Somerville,7,3,843,269,7,97,"1,216"
Somerville,7,4,"1,078",184,5,96,"1,363"
Stoneham,-,1,962,556,1,306,"1,825"
Stoneham,-,2,"1,005",656,1,284,"1,946"
Stoneham,-,3,"1,042",724,1,344,"2,111"
Stoneham,-,4,912,602,0,316,"1,830"
Stoneham,-,5,"1,020",679,0,358,"2,057"
Stoneham,-,6,"1,168",654,0,337,"2,159"
Stoneham,-,7,892,568,1,296,"1,757"
Stow,-,1,"1,531",612,9,329,"2,481"
Stow,-,2,"1,499",510,2,314,"2,325"
Sudbury,-,1,"1,356",441,6,302,"2,105"
Sudbury,-,2,"1,324",375,5,287,"1,991"
Sudbury,-,3,"1,130",364,2,303,"1,799"
Sudbury,-,4,"1,381",426,9,306,"2,122"
Sudbury,-,5,"1,197",438,4,287,"1,926"
Sudbury,-,6,"1,274",408,3,315,"2,000"
Townsend,-,1,809,794,0,267,"1,870"
Townsend,-,2,798,756,0,311,"1,865"
Townsend,-,3,841,766,0,248,"1,855"
Wakefield,-,1,"1,057",771,4,432,"2,264"
Wakefield,-,2,"1,152",652,5,413,"2,222"
Wakefield,-,3,"1,216",775,7,412,"2,410"
Wakefield,-,4,"1,250",681,3,431,"2,365"
Wakefield,-,5,"1,345",703,5,415,"2,468"
Wakefield,-,6,"1,315",646,3,430,"2,394"
Wakefield,-,7,"1,199",727,2,427,"2,355"
Waltham,1,1,"1,257",457,0,335,"2,049"
Waltham,1,2,"1,148",447,0,393,"1,988"
Waltham,1,2A,4,10,0,2,16
Waltham,2,1,"1,208",414,0,304,"1,926"
Waltham,2,2,946,272,0,170,"1,388"
Waltham,3,1,"1,096",554,0,437,"2,087"
Waltham,3,2,"1,197",422,0,326,"1,945"
Waltham,3,2A,21,7,0,8,36
Waltham,4,1,"1,208",469,0,330,"2,007"
Waltham,4,1A,26,5,0,2,33
Waltham,4,2,227,82,0,55,364
Waltham,5,1,899,344,0,289,"1,532"
Waltham,5,2,668,180,0,134,982
Waltham,5,2A,123,26,0,21,170
Waltham,6,1,"1,008",296,0,203,"1,507"
Waltham,6,2,612,192,0,159,963
Waltham,6,2A,128,42,0,40,210
Waltham,7,1,"1,170",340,0,288,"1,798"
Waltham,7,2,433,85,0,96,614
Waltham,8,1,"1,007",238,0,221,"1,466"
Waltham,8,2,983,294,0,222,"1,499"
Waltham,8,2A,13,3,0,1,17
Waltham,9,1,884,210,0,178,"1,272"
Waltham,9,2,717,205,0,164,"1,086"
Watertown,-,1,868,229,1,218,"1,316"
Watertown,-,2,"1,032",271,0,192,"1,495"
Watertown,-,3,"1,143",243,0,185,"1,571"
Watertown,-,4,"1,325",265,0,237,"1,827"
Watertown,-,5,873,243,0,184,"1,300"
Watertown,-,6,967,201,0,181,"1,349"
Watertown,-,7,"1,161",333,0,246,"1,740"
Watertown,-,8,"1,083",271,0,246,"1,600"
Watertown,-,9,870,250,0,172,"1,292"
Watertown,-,10,"1,127",309,0,229,"1,665"
Watertown,-,11,"1,010",377,0,238,"1,625"
Watertown,-,12,910,352,0,246,"1,508"
Wayland,-,1,"1,641",442,4,333,"2,420"
Wayland,-,2,"1,326",430,4,358,"2,118"
Wayland,-,3,"1,312",395,4,322,"2,033"
Wayland,-,4,"1,540",458,3,362,"2,363"
Weston,-,1,"1,087",448,0,336,"1,871"
Weston,-,2,923,418,4,303,"1,648"
Weston,-,3,821,364,1,288,"1,474"
Weston,-,4,874,455,1,310,"1,640"
Winchester,-,1,"1,017",402,5,298,"1,722"
Winchester,-,2,818,347,5,242,"1,412"
Winchester,-,3,"1,165",346,1,331,"1,843"
Winchester,-,4,"1,000",424,3,346,"1,773"
Winchester,-,5,944,462,8,326,"1,740"
Winchester,-,6,955,466,6,331,"1,758"
Winchester,-,7,986,424,1,351,"1,762"
Winchester,-,8,783,363,4,236,"1,386"
Woburn,1,1,723,367,0,249,"1,339"
Woburn,1,2,790,368,2,248,"1,408"
Woburn,1,2A,48,21,0,18,87
Woburn,2,1,899,495,3,301,"1,698"
Woburn,2,2,771,351,0,228,"1,350"
Woburn,3,1,851,428,1,283,"1,563"
Woburn,3,2,901,611,1,357,"1,870"
Woburn,4,1,820,570,0,323,"1,713"
Woburn,4,2,736,419,1,242,"1,398"
Woburn,5,1,893,434,2,256,"1,585"
Woburn,5,2,792,441,0,278,"1,511"
Woburn,6,1,553,304,0,199,"1,056"
Woburn,6,2,829,504,2,298,"1,633"
Woburn,7,1,940,550,4,333,"1,827"
Woburn,7,2,"1,073",585,1,371,"2,030"
TOTALS,,,"419,453","144,378","1,470","99,850","665,151"
