City/Town,Ward,Pct,"Marian T. Ryan","Donna Patalano","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Democratic
Dracut,-,8,"1,347",0,0,640,"1,987"
Dracut,-,9,"1,077",0,0,415,"1,492"
Dunstable,-,1,"1,210",0,0,527,"1,737"
Everett,1,1,582,0,12,182,776
Everett,1,2,450,0,8,177,635
Everett,2,1,649,0,13,182,844
Everett,2,2,561,0,14,153,728
Everett,3,1,761,0,9,236,"1,006"
Everett,3,2,658,0,14,219,891
Everett,4,1,786,0,19,222,"1,027"
Everett,4,2,639,0,11,184,834
Everett,5,1,656,0,13,200,869
Everett,5,2,684,0,8,175,867
Everett,6,1,737,0,13,202,952
Everett,6,2,739,0,8,187,934
Framingham,-,1,"1,469",0,18,476,"1,963"
Framingham,-,2,"1,794",0,32,508,"2,334"
Framingham,-,3,"1,316",0,17,316,"1,649"
Framingham,-,4,"1,472",0,26,517,"2,015"
Framingham,-,5,"1,380",0,23,444,"1,847"
Framingham,-,6,"1,427",0,28,417,"1,872"
Framingham,-,7,"1,297",0,19,369,"1,685"
Framingham,-,8,"1,332",0,23,307,"1,662"
Framingham,-,9,923,0,21,239,"1,183"
Framingham,-,10,717,0,6,138,861
Framingham,-,11,"1,534",0,22,481,"2,037"
Framingham,-,12,711,0,14,195,920
Framingham,-,13,910,0,26,215,"1,151"
Framingham,-,14,582,0,13,124,719
Framingham,-,15,728,0,15,137,880
Framingham,-,16,352,0,5,63,420
Framingham,-,17,389,0,3,34,426
Framingham,-,18,626,0,10,130,766
Groton,-,1,"1,545",0,11,462,"2,018"
Groton,-,2,"1,407",0,15,487,"1,909"
Groton,-,3,"1,405",0,6,499,"1,910"
Holliston,-,1,"1,546",0,23,533,"2,102"
Holliston,-,2,"1,444",0,13,503,"1,960"
Holliston,-,3,"1,345",0,24,424,"1,793"
Holliston,-,4,"1,270",0,17,453,"1,740"
Hopkinton,-,1,"1,683",0,3,532,"2,218"
Hopkinton,-,2,"1,419",0,4,529,"1,952"
Hopkinton,-,3,"1,384",0,8,548,"1,940"
Hopkinton,-,4,"1,403",0,0,498,"1,901"
Hudson,-,1,"1,036",0,7,308,"1,351"
