City/Town,Ward,Pct,"Michael W. Morrissey","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Dedham,-,3,"1,163",12,343,"1,518"
Dedham,-,4,"1,250",8,486,"1,744"
Dedham,-,5,"1,326",13,517,"1,856"
Dedham,-,6,"1,377",16,501,"1,894"
Dedham,-,7,"1,298",11,525,"1,834"
Dover,-,1,"2,075",39,"1,019","3,133"
Foxborough,-,1,"1,143",5,402,"1,550"
Foxborough,-,2,"1,262",5,549,"1,816"
Foxborough,-,3,"1,271",7,537,"1,815"
Foxborough,-,4,"1,221",7,527,"1,755"
Foxborough,-,5,"1,168",5,492,"1,665"
